"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"10","Ambient","No residue",0.789072522000001,0.00225381481007394,3,0.781899877384887,0.796245166615114,"E"
"7","Ambient","Wheat",0.7998600985,0.0032973469763359,3,0.789366468797922,0.810353728202079,"DE"
"8","Ambient","Clover",0.812725119999999,0.00228556279693879,3,0.805451439121388,0.819998800878611,"C"
"3","Ambient","Wheat-clover mix",0.81525411725,0.00330037532157891,3,0.804750850001792,0.825757384498208,"BC"
"2","Ambient","Five-species mix",0.938791241875,0.00117111394609335,3,0.935064234624189,0.942518249125811,"A"
"9","Drought","No residue",0.797355162625,0.00225381481007395,3,0.790182518009887,0.804527807240114,"DE"
"6","Drought","Wheat",0.7989885555,0.00329734697633591,3,0.788494925797922,0.809482185202079,"DE"
"4","Drought","Clover",0.8240526285,0.00228556279693879,3,0.816778947621388,0.831326309378612,"B"
"5","Drought","Wheat-clover mix",0.805999676,0.00330037532157891,3,0.795496408751792,0.816502943248209,"CD"
"1","Drought","Five-species mix",0.93925732725,0.00117111394609335,3,0.935530319999189,0.942984334500811,"A"
