"","Residue.type","Glucose.addition.treatment","response","SE","df","lower.CL","upper.CL",".group"
"10","No residue","G-00",0.789137105124999,0.00225841353242654,3,0.781949825322926,0.796324384927073,"F"
"8","No residue","G-50",0.797290579499999,0.00225841353242654,3,0.790103299697926,0.804477859302073,"EF"
"5","Wheat","G-00",0.796129493,0.00343389240893494,3,0.785201314790443,0.807057671209556,"EF"
"9","Wheat","G-50",0.802719161,0.00343389240893494,3,0.791790982790443,0.813647339209556,"DE"
"4","Clover","G-00",0.814219091999999,0.00209444285639279,3,0.807553640070044,0.820884543929954,"CD"
"6","Clover","G-50",0.8225586565,0.00209444285639278,3,0.815893204570045,0.829224108429955,"C"
"3","Wheat-clover mix","G-00",0.80405877175,0.0029684687398034,3,0.794611779376662,0.813505764123337,"DE"
"7","Wheat-clover mix","G-50",0.8171950215,0.0029684687398034,3,0.807748029126662,0.826642013873337,"CD"
"2","Five-species mix","G-00",0.937503309124999,0.000894275885968613,3,0.934657324135794,0.940349294114205,"B"
"1","Five-species mix","G-50",0.940545259999999,0.00089427588596861,3,0.937699275010794,0.943391244989205,"A"
