"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"10","Ambient","No residue",201.421367356784,9.27909965759201,3,173.953811828177,233.226089164118,"D"
"6","Ambient","Wheat",232.758880025598,9.34091114592787,3,204.851931554244,264.467587977929,"CD"
"8","Ambient","Clover",270.290943249512,8.02448710470552,3,245.922741035204,297.073762658869,"B"
"2","Ambient","Wheat-clover mix",280.135304486857,19.9777158246975,3,223.255772066588,351.506203371701,"BC"
"4","Ambient","Five-species mix",8418.09116825204,361.448913069689,3,7342.92966311257,9650.67924768391,"A"
"7","Drought","No residue",236.931623220304,8.93804168336753,3,210.127931002345,267.154365504992,"CD"
"9","Drought","Wheat",232.003316334736,8.07720253693142,3,207.670917807133,259.186694789419,"CD"
"3","Drought","Clover",300.704666397553,11.4356680740045,3,266.427338468369,339.391959222679,"B"
"5","Drought","Wheat-clover mix",262.125991210031,8.52218279188553,3,236.360521695562,290.70013374036,"BC"
"1","Drought","Five-species mix",8483.46989139773,328.351102169475,3,7500.3041074335,9595.51244421189,"A"
