"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue",14707.875,1116.0397574056,3,11156.1383974948,18259.6116025052,"B"
"8","Ambient","Wheat",18698.875,1309.63893395508,3,14531.019413379,22866.730586621,"B"
"7","Ambient","Clover",18118,1155.76745166087,3,14439.8321436947,21796.1678563053,"B"
"5","Ambient","Wheat-clover mix",19317.5,1602.23909120142,3,14218.4601240249,24416.5398759751,"B"
"1","Ambient","Five-species mix",35854.25,1563.05650380329,3,30879.9066045215,40828.5933954785,"A"
"10","Drought","No residue",17579,920.984713293783,3,14648.0156019554,20509.9843980446,"B"
"6","Drought","Wheat",19560.875,2637.70557771169,3,11166.5186297852,27955.2313702148,"B"
"4","Drought","Clover",18012.5,1469.04623674485,3,13337.3392315804,22687.6607684196,"B"
"3","Drought","Wheat-clover mix",18690.125,1036.79452232388,3,15390.582103092,21989.667896908,"B"
"2","Drought","Five-species mix",35009,1389.19343924324,3,30587.966471956,39430.033528044,"A"
