"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue",6.94390320825384,0.0720559187190698,3,6.71833418894948,7.17704573924114,"E"
"5","Ambient","Wheat",7.21304983698838,0.0484985519421966,3,7.06034540231116,7.36905703421351,"CD"
"3","Ambient","Clover",7.43600577476995,0.0917271374877178,3,7.14974474944539,7.73372810081104,"BC"
"8","Ambient","Wheat-clover mix",7.27521661552095,0.084472025634756,3,7.01129506220919,7.54907279370363,"CD"
"1","Ambient","Five-species mix",9.62495400221253,0.089133409796223,3,9.34543093214053,9.91283764412651,"A"
"10","Drought","No residue",7.12238946833574,0.0369050005164187,3,7.0059043450167,7.24081135574497,"DE"
"6","Drought","Wheat",7.20638091146738,0.058896162049099,3,7.02136356626523,7.39627358005972,"CDE"
"4","Drought","Clover",7.58127026995255,0.0583424019025332,3,7.39785388551616,7.7692341313465,"B"
"7","Drought","Wheat-clover mix",7.29002577868544,0.083988111764903,3,7.02757881143082,7.56227390398743,"BCD"
"2","Drought","Five-species mix",9.60012780183532,0.0864300897881963,3,9.32897175994785,9.87916526955878,"A"
