"","Residue.type","Glucose.addition.treatment","response","SE","df","lower.CL","upper.CL",".group"
"5","No residue","G-00",0.995093033,0.000133228696126677,3,0.994669039828254,0.995517026171746,"F"
"8","No residue","G-50",0.9956790245,0.000133228696126677,3,0.995255031328254,0.996103017671746,"DEF"
"10","Wheat","G-00",0.9955180565,0.000138529927821593,3,0.995077192443033,0.995958920556967,"EF"
"3","Wheat","G-50",0.99584084475,0.000138529927821593,3,0.995399980693033,0.996281708806967,"CDE"
"7","Clover","G-00",0.996361719375,0.000109712486679802,3,0.996012565277123,0.996710873472878,"BC"
"6","Clover","G-50",0.996587323375001,0.000109712486679802,3,0.996238169277123,0.996936477472878,"B"
"9","Wheat-clover mix","G-00",0.996243050625,0.000187052435069165,3,0.99564776629412,0.99683833495588,"BCDE"
"4","Wheat-clover mix","G-50",0.996313164,0.000187052435069166,3,0.99571787966912,0.99690844833088,"BCD"
"1","Five-species mix","G-00",0.999882341875,6.72477601729335e-06,3,0.99986094063641,0.99990374311359,"A"
"2","Five-species mix","G-50",0.999879477875,6.72477601729261e-06,3,0.99985807663641,0.99990087911359,"A"
