"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"10","Ambient","No residue",11.9436574468703,0.140486060444471,3,11.5048326520424,12.3992201818647,"D"
"9","Ambient","Wheat",15.0609715149833,0.177153151287074,3,14.5076127331888,15.6354368666195,"C"
"8","Ambient","Clover",15.2895589379236,0.179841887686196,3,14.7278015705687,15.8727432194223,"BC"
"4","Ambient","Wheat-clover mix",15.1606405879043,0.178325498657644,3,14.6036198406968,15.7389075820153,"C"
"3","Ambient","Five-species mix",15.8509506387112,0.186445200679783,3,15.2685670436691,16.4555478868619,"ABC"
"6","Drought","No residue",12.281760829681,0.1444629672241,3,11.8305136970347,12.7502197233662,"D"
"7","Drought","Wheat",15.7319674443634,0.185045672913068,3,15.1539554395214,16.332026358283,"ABC"
"2","Drought","Clover",16.0243531733342,0.188484830422066,3,15.4355985540044,16.6355644535165,"AB"
"5","Drought","Wheat-clover mix",15.6421833077994,0.183989596104737,3,15.0674700835429,16.2388176169031,"BC"
"1","Drought","Five-species mix",16.5210127291442,0.19432673811979,3,15.9140102214563,17.1511679204871,"A"
