"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue",10.8137768003433,0.115418546445232,3,10.4526317329318,11.1873996592861,"D"
"10","Ambient","Wheat",13.1626029959019,0.140488243217155,3,12.7230147526791,13.6173792922188,"C"
"7","Ambient","Clover",13.6019517056636,0.145177538215519,3,13.1476906406937,14.0719077790412,"ABC"
"5","Ambient","Wheat-clover mix",13.3196108799996,0.142164033470419,3,12.8747790827499,13.7798118984663,"BC"
"1","Ambient","Five-species mix",13.9445840683347,0.148834551856057,3,13.4788801938821,14.4263783075327,"AB"
"6","Drought","No residue",10.7817699234805,0.115076927853322,3,10.4216937819322,11.1542869244921,"D"
"8","Drought","Wheat",13.5505372832976,0.144628777314923,3,13.0979932932567,14.0187169557165,"ABC"
"2","Drought","Clover",14.040319783561,0.149856366648273,3,13.5714186467673,14.5254217525454,"A"
"4","Drought","Wheat-clover mix",13.5519704756821,0.14464407418898,3,13.0993786216645,14.0201996658085,"ABC"
"3","Drought","Five-species mix",13.8892411808804,0.148243861318977,3,13.4253855793476,14.369123288155,"AB"
