"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","Ambient","No residue",1.13125,0.0130738179481979,3,1.08964327637481,1.17285672362519,"D"
"5","Ambient","Wheat",1.525,0.0130738179481979,3,1.48339327637481,1.56660672362519,"C"
"3","Ambient","Clover",1.86125,0.0130738179481979,3,1.8196432763748,1.90285672362519,"A"
"8","Ambient","Wheat-clover mix",1.67375,0.0130738179481979,3,1.6321432763748,1.71535672362519,"B"
"2","Ambient","Five-species mix",1.8725,0.0130738179481979,3,1.83089327637481,1.91410672362519,"A"
"9","Drought","No residue",1.1375,0.0130738179481979,3,1.09589327637481,1.17910672362519,"D"
"10","Drought","Wheat",1.525,0.0130738179481979,3,1.48339327637481,1.56660672362519,"C"
"1","Drought","Clover",1.87875,0.0130738179481979,3,1.8371432763748,1.92035672362519,"A"
"7","Drought","Wheat-clover mix",1.68,0.0130738179481979,3,1.63839327637481,1.72160672362519,"B"
"4","Drought","Five-species mix",1.835,0.0130738179481979,3,1.79339327637481,1.87660672362519,"A"
