"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","Ambient","No residue",9.83124999999999,0.0487266427605608,3,9.67618007577776,9.98631992422222,"B"
"10","Ambient","Wheat",9.48999999999999,0.0487266427605609,3,9.33493007577776,9.64506992422222,"C"
"2","Ambient","Clover",7.85749999999998,0.0487266427605609,3,7.70243007577775,8.0125699242222,"F"
"8","Ambient","Wheat-clover mix",8.60999999999999,0.0487266427605609,3,8.45493007577776,8.76506992422222,"D"
"4","Ambient","Five-species mix",8.17374999999999,0.0487266427605608,3,8.01868007577777,8.32881992422222,"E"
"5","Drought","No residue",10.0725,0.0487266427605609,3,9.91743007577776,10.2275699242222,"A"
"9","Drought","Wheat",9.78999999999999,0.0487266427605609,3,9.63493007577777,9.94506992422222,"B"
"1","Drought","Clover",8.05249999999999,0.0487266427605609,3,7.89743007577777,8.20756992422222,"EF"
"7","Drought","Wheat-clover mix",8.81624999999999,0.0487266427605608,3,8.66118007577776,8.97131992422222,"D"
"3","Drought","Five-species mix",8.25874999999999,0.0487266427605609,3,8.10368007577777,8.41381992422222,"E"
