"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"4","Ambient","No residue",874.339604550071,17.3114493592767,3,820.946674231589,931.205117312064,"D"
"7","Ambient","Wheat",1489.85278124699,29.4982760029576,3,1398.87256564203,1586.75019033677,"B"
"6","Ambient","Clover",1302.16291063441,25.7821184899615,3,1222.64427372377,1386.85330007523,"C"
"3","Ambient","Wheat-clover mix",1356.93361658589,26.8665487245256,3,1274.0703199216,1445.18619657836,"C"
"10","Ambient","Five-species mix",1298.18463568382,25.7033508063451,3,1218.90893842285,1382.61628510669,"C"
"8","Drought","No residue",895.731435012563,17.7349959855836,3,841.032178745531,953.988234869223,"D"
"1","Drought","Wheat",1802.97096422402,35.6978459868255,3,1692.86969172293,1920.23303017874,"A"
"5","Drought","Clover",1496.14056723083,29.6227707508505,3,1404.77637803353,1593.44692288125,"B"
"2","Drought","Wheat-clover mix",1585.97895189596,31.4015219804141,3,1489.12863970092,1689.12823835165,"B"
"9","Drought","Five-species mix",1505.79358688579,29.8138952979388,3,1413.83992078144,1603.72775798633,"B"
