"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","control","NONE",10.6588207995382,0.186211163135915,3,10.0823864900348,11.2682112463113,"B"
"9","control","WHEA",13.1832002316095,0.230312442168841,3,12.4702462317748,13.9369155280885,"A"
"8","control","CLOV",13.4261460872568,0.234556741909867,3,12.7000534551868,14.1937511832079,"A"
"10","control","WHCL",13.2921494728136,0.232215801396745,3,12.5733034440382,14.0520936597132,"A"
"3","control","SHMX",13.8539438901401,0.24203043228895,3,13.1047157409477,14.6460072164274,"A"
"4","drought","NONE",10.7373938836629,0.187583846443122,3,10.1567103028429,11.3512765428242,"B"
"2","drought","WHEA",13.8682776061156,0.242280844409959,3,13.118274282462,14.6611604254544,"A"
"1","drought","CLOV",14.192517308972,0.247945359588444,3,13.4249789415509,15.003937692747,"A"
"5","drought","WHCL",13.3109405426935,0.232544084144408,3,12.5910782835494,14.0719590602986,"A"
"7","drought","SHMX",13.7718426728985,0.240596111978575,3,13.0270545982097,14.5592120749331,"A"
