"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","control","NONE",9.4375,0.137411335056455,3,9.00019580444548,9.87480419555451,"A"
"6","control","WHEA",8.605,0.137411335056455,3,8.16769580444548,9.04230419555451,"BC"
"2","control","CLOV",7.23,0.137411335056455,3,6.79269580444548,7.66730419555451,"E"
"8","control","WHCL",7.9275,0.137411335056455,3,7.49019580444548,8.36480419555451,"D"
"1","control","SHMX",7.4325,0.137411335056455,3,6.99519580444548,7.86980419555451,"DE"
"5","drought","NONE",9.4425,0.137411335056455,3,9.00519580444548,9.87980419555451,"A"
"10","drought","WHEA",9.1,0.137411335056455,3,8.66269580444548,9.53730419555451,"AB"
"3","drought","CLOV",7.5675,0.137411335056455,3,7.13019580444548,8.00480419555451,"DE"
"7","drought","WHCL",7.9975,0.137411335056455,3,7.56019580444548,8.43480419555451,"CD"
"4","drought","SHMX",7.4975,0.137411335056455,3,7.06019580444548,7.93480419555451,"DE"
