"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","control","NONE",21.0675,9.16932373135919,3,-8.11338043081427,50.2483804308143,"C"
"7","control","WHEA",43.265,9.16932373135919,3,14.0841195691857,72.4458804308143,"ABC"
"6","control","CLOV",47.91,9.16932373135919,3,18.7291195691857,77.0908804308143,"ABC"
"3","control","WHCL",56.1825,9.16932373135919,3,27.0016195691857,85.3633804308143,"AB"
"1","control","SHMX",64.775,9.16932373135919,3,35.5941195691857,93.9558804308143,"A"
"8","drought","NONE",28.3375,9.16932373135919,3,-0.843380430814282,57.5183804308143,"BC"
"10","drought","WHEA",43.3825,9.16932373135919,3,14.2016195691857,72.5633804308143,"ABC"
"5","drought","CLOV",47.1975,9.16932373135919,3,18.0166195691857,76.3783804308143,"ABC"
"2","drought","WHCL",58.2625,9.16932373135919,3,29.0816195691857,87.4433804308143,"AB"
"4","drought","SHMX",55.1425,9.16932373135919,3,25.9616195691857,84.3233804308143,"AB"
