"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"4","control","NONE",7.04965883175,0.392951741381223,3,5.79911101423653,8.30020664926347,"C"
"6","control","WHEA",8.0429163795,0.392951741381223,3,6.79236856198653,9.29346419701347,"ABC"
"8","control","CLOV",7.921404263,0.392951741381222,3,6.67085644548653,9.17195208051347,"ABC"
"2","control","WHCL",8.9973804065,0.392951741381223,3,7.74683258898653,10.2479282240135,"A"
"10","control","SHMX",8.08136988675,0.392951741381223,3,6.83082206923653,9.33191770426347,"ABC"
"7","drought","NONE",7.08953188775,0.392951741381223,3,5.83898407023653,8.34007970526347,"BC"
"1","drought","WHEA",9.0746441495,0.392951741381223,3,7.82409633198653,10.3251919670135,"A"
"3","drought","CLOV",8.2142087175,0.392951741381223,3,6.96366089998653,9.46475653501347,"ABC"
"5","drought","WHCL",8.950815117,0.392951741381223,3,7.70026729948653,10.2013629345135,"AB"
"9","drought","SHMX",8.048683178,0.392951741381223,3,6.79813536048653,9.29923099551347,"ABC"
