"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","control","NONE",8.81045745675,0.186025292362609,3,8.21844195238129,9.4024729611187,"A"
"6","control","WHEA",8.56004195025,0.186025292362609,3,7.96802644588129,9.1520574546187,"A"
"2","control","CLOV",7.00930183375,0.186025292362609,3,6.41728632938129,7.60131733811871,"D"
"8","control","WHCL",7.755367972,0.186025292362609,3,7.16335246763129,8.3473834763687,"BC"
"1","control","SHMX",7.227075171,0.186025292362609,3,6.63505966663129,7.8190906753687,"CD"
"5","drought","NONE",9.01108627575,0.186025292362609,3,8.41907077138129,9.6031017801187,"A"
"10","drought","WHEA",8.37296827475,0.186025292362609,3,7.78095277038129,8.9649837791187,"AB"
"3","drought","CLOV",7.34966058975,0.186025292362609,3,6.75764508538129,7.94167609411871,"CD"
"7","drought","WHCL",7.69709973925,0.186025292362609,3,7.10508423488129,8.2891152436187,"BCD"
"4","drought","SHMX",7.40909863925,0.186025292362609,3,6.81708313488129,8.0011141436187,"CD"
