"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"5","control","NONE",444.11754465,56.6235529667786,3,263.916127718839,624.318961581161,"A"
"9","control","WHEA",560.4546543,56.6235529667786,3,380.253237368839,740.656071231161,"A"
"1","control","CLOV",662.262380075,56.6235529667786,3,482.060963143839,842.463797006161,"A"
"4","control","WHCL",546.32568675,56.6235529667786,3,366.124269818839,726.527103681161,"A"
"3","control","SHMX",600.2446395,56.6235529667786,3,420.043222568839,780.446056431161,"A"
"8","drought","NONE",467.561307575,56.6235529667786,3,287.359890643839,647.762724506161,"A"
"7","drought","WHEA",616.243243225,56.6235529667786,3,436.041826293839,796.444660156161,"A"
"10","drought","CLOV",554.34088095,56.6235529667786,3,374.139464018839,734.542297881161,"A"
"2","drought","WHCL",625.69759925,56.6235529667787,3,445.496182318839,805.899016181161,"A"
"6","drought","SHMX",610.3984596,56.6235529667786,3,430.197042668839,790.599876531161,"A"
