"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","control","NONE",2.09947277385593,0.310962657176769,3,1.31038286730948,3.36373897898445,"A"
"7","control","WHEA",2.80314118658279,0.415186251841931,3,1.74957648000427,4.49114434362858,"A"
"8","control","CLOV",2.67252405741845,0.395839942585847,3,1.66805198949147,4.2818718376145,"A"
"3","control","WHCL",2.58124308162215,0.3823198935827,3,1.61107910168637,4.1356230364158,"A"
"1","control","SHMX",3.1575412042744,0.467678083399466,3,1.97077473374696,5.0589579244985,"A"
"6","drought","NONE",1.85744257807125,0.275114441503084,3,1.15932007388953,2.97596238393153,"A"
"10","drought","WHEA",2.27286825842457,0.336645067206258,3,1.4186074059065,3.64155022640168,"A"
"2","drought","CLOV",3.41078727702521,0.505187534668766,3,2.12883790040408,5.46470440370722,"A"
"5","drought","WHCL",2.75625489412743,0.408241705445024,3,1.72031246900577,4.41602393650727,"A"
"4","drought","SHMX",3.05423578313026,0.452377037984742,3,1.90629680592948,4.89344376486273,"A"
