"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"10","control","NONE",21.1750127728838,1.61220716636442,3,16.6185434141214,26.9807741122959,"A"
"9","control","WHEA",20.6653173605235,1.57340036113204,3,16.2185249853658,26.3313304999371,"A"
"8","control","CLOV",18.657608707344,1.42053895257729,3,14.6428379350846,23.7731486355035,"A"
"6","control","WHCL",18.9836686547794,1.44536425915717,3,14.8987358393825,24.188607642928,"A"
"3","control","SHMX",17.5001578673663,1.33241383270411,3,13.7344490127171,22.2983481244259,"A"
"4","drought","NONE",18.1695910675725,1.3833826332593,3,14.2598326249871,23.1513264036723,"A"
"2","drought","WHEA",19.2239128275129,1.46365578894809,3,15.0872839294065,24.4947219213863,"A"
"7","drought","CLOV",19.0404072095667,1.44968417648701,3,14.94326531127,24.2609027648527,"A"
"5","drought","WHCL",19.1441946331445,1.45758626513581,3,15.0247196094595,24.393146606275,"A"
"1","drought","SHMX",16.9328063532325,1.28921725064086,3,13.289181004153,21.5754402702821,"A"
