"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"10","control","NONE",11.9386602541568,0.234928693434286,3,11.2139415659266,12.7102150324435,"C"
"4","control","WHEA",14.9250731519281,0.293695260636367,3,14.019068691952,15.8896295813348,"B"
"9","control","CLOV",15.3377518703806,0.301815943365437,3,14.4066963600244,16.328978313871,"AB"
"8","control","WHCL",15.2056038636029,0.299215537799711,3,14.2825702022721,16.1882900334027,"B"
"5","control","SHMX",15.8360246613321,0.311620944367233,3,14.8747222391993,16.8594527710535,"AB"
"6","drought","NONE",12.5280636073248,0.246526959631478,3,11.7675660615131,13.3377095083836,"C"
"3","drought","WHEA",15.9031071058015,0.312940991231459,3,14.9377325432338,16.930870524466,"AB"
"2","drought","CLOV",15.9536999217375,0.313936555548726,3,14.985254197212,16.9847329810528,"AB"
"7","drought","WHCL",15.837398150353,0.311647971853924,3,14.8760123526035,16.8609150239721,"AB"
"1","drought","SHMX",16.6238496061429,0.327123746272906,3,15.6147234375926,17.6981921474405,"A"
