"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"10","control","NONE",1.21226484901984,0.018288527339001,3,1.15543767778604,1.27188691560154,"D"
"5","control","WHEA",1.56953807734265,0.0236784396250478,3,1.49596305852457,1.64673169045904,"C"
"3","control","CLOV",1.9649172980929,0.0296432283375229,3,1.87280814236734,2.06155660102175,"A"
"8","control","WHCL",1.76173505353709,0.026577970743555,3,1.67915044371615,1.84838137075584,"B"
"4","control","SHMX",1.96234299978576,0.0296043918365661,3,1.87035451908499,2.05885569260529,"A"
"6","drought","NONE",1.24186084959299,0.0187350199235586,3,1.18364631074413,1.30293851782656,"D"
"9","drought","WHEA",1.62215239001789,0.024472192159044,3,1.54611097736009,1.70193370008517,"C"
"2","drought","CLOV",1.98079892454778,0.0298828224821876,3,1.88794528802106,2.07821932361309,"A"
"7","drought","WHCL",1.79156978813148,0.0270280649286025,3,1.70758661959387,1.87968344850867,"B"
"1","drought","SHMX",2.0169610448073,0.030428373172317,3,1.92241224158344,2.11615998289697,"A"
