"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","control","NONE",9.8475,0.0768101013328096,3,9.60305597680493,10.0919440231951,"AB"
"10","control","WHEA",9.5075,0.0768101013328095,3,9.26305597680493,9.75194402319506,"B"
"2","control","CLOV",7.805,0.0768101013328095,3,7.56055597680493,8.04944402319506,"E"
"8","control","WHCL",8.63,0.0768101013328095,3,8.38555597680493,8.87444402319506,"C"
"4","control","SHMX",8.0725,0.0768101013328095,3,7.82805597680493,8.31694402319506,"DE"
"5","drought","NONE",10.0875,0.0768101013328096,3,9.84305597680493,10.3319440231951,"A"
"9","drought","WHEA",9.805,0.0768101013328096,3,9.56055597680493,10.0494440231951,"AB"
"1","drought","CLOV",8.06,0.0768101013328095,3,7.81555597680493,8.30444402319507,"DE"
"7","drought","WHCL",8.84,0.0768101013328095,3,8.59555597680493,9.08444402319506,"C"
"3","drought","SHMX",8.2425,0.0768101013328095,3,7.99805597680493,8.48694402319506,"D"
