"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","control","NONE",7.70879356825,0.198349640461552,3,7.07755648780878,8.34003064869122,"BC"
"10","control","WHEA",8.27106723125,0.198349640461552,3,7.63983015080878,8.90230431169122,"AB"
"4","control","CLOV",8.43179326475,0.198349640461552,3,7.80055618430878,9.06303034519122,"AB"
"2","control","WHCL",8.690021097,0.198349640461552,3,8.05878401655878,9.32125817744122,"A"
"1","control","SHMX",8.498781915,0.198349640461552,3,7.86754483455878,9.13001899544122,"AB"
"7","drought","NONE",7.2079018735,0.198349640461552,3,6.57666479305878,7.83913895394122,"C"
"5","drought","WHEA",7.87220046325,0.198349640461552,3,7.24096338280878,8.50343754369121,"ABC"
"8","drought","CLOV",8.2787201915,0.198349640461552,3,7.64748311105878,8.90995727194121,"AB"
"6","drought","WHCL",8.33410712425,0.198349640461552,3,7.70287004380878,8.96534420469122,"AB"
"3","drought","SHMX",8.372100937,0.198349640461552,3,7.74086385655878,9.00333801744122,"AB"
