"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","control","NONE",9.16344015475,0.093236291258478,3,8.8667206641161,9.46015964538389,"AB"
"10","control","WHEA",8.72106608675,0.093236291258478,3,8.4243465961161,9.0177855773839,"BCD"
"2","control","CLOV",7.92510543775,0.0932362912584779,3,7.6283859471161,8.2218249283839,"F"
"8","control","WHCL",8.35282577949999,0.093236291258478,3,8.0561062888661,8.64954527013389,"CDEF"
"1","control","SHMX",7.964482005,0.093236291258478,3,7.6677625143661,8.26120149563389,"EF"
"5","drought","NONE",9.3257049775,0.093236291258478,3,9.0289854868661,9.62242446813389,"A"
"6","drought","WHEA",8.78355141225,0.093236291258478,3,8.4868319216161,9.0802709028839,"BC"
"4","drought","CLOV",8.07195872675,0.0932362912584779,3,7.7752392361161,8.36867821738389,"EF"
"7","drought","WHCL",8.40383151825,0.093236291258478,3,8.1071120276161,8.7005510088839,"CDE"
"3","drought","SHMX",8.32703463475,0.0932362912584779,3,8.0303151441161,8.6237541253839,"DEF"
