"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","control","NONE",342.154001099999,95.7418304978482,3,37.4607663710233,646.847235828975,"C"
"5","control","WHEA",968.2226464,95.7418304978481,3,663.529411671024,1272.91588112898,"AB"
"3","control","CLOV",513.403861899999,95.7418304978481,3,208.710627171023,818.097096628975,"BC"
"10","control","WHCL",693.30114355,95.7418304978482,3,388.607908821024,997.994378278976,"ABC"
"1","control","SHMX",1061.499592425,95.7418304978481,3,756.806357696024,1366.19282715398,"A"
"6","drought","NONE",579.0831375,95.7418304978481,3,274.389902771024,883.776372228975,"BC"
"8","drought","WHEA",730.451288625,95.7418304978481,3,425.758053896024,1035.14452335398,"ABC"
"2","drought","CLOV",855.537163399999,95.7418304978482,3,550.843928671024,1160.23039812898,"AB"
"4","drought","WHCL",809.008592275,95.7418304978481,3,504.315357546024,1113.70182700398,"AB"
"7","drought","SHMX",831.987642275,95.7418304978481,3,527.294407546024,1136.68087700398,"AB"
