"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","control","NONE",0.14903717025,0.0143343384063899,3,0.103418907949898,0.194655432550102,"D"
"5","control","WHEA",0.25267184925,0.0143343384063899,3,0.207053586949898,0.298290111550102,"AB"
"3","control","CLOV",0.23079830275,0.0143343384063899,3,0.185180040449898,0.276416565050102,"ABC"
"8","control","WHCL",0.2218043835,0.0143343384063899,3,0.176186121199898,0.267422645800102,"BC"
"4","control","SHMX",0.2476225515,0.0143343384063899,3,0.202004289199898,0.293240813800102,"AB"
"10","drought","NONE",0.17592038925,0.0143343384063899,3,0.130302126949898,0.221538651550102,"CD"
"9","drought","WHEA",0.25150875875,0.0143343384063899,3,0.205890496449898,0.297127021050102,"AB"
"1","drought","CLOV",0.2935433255,0.0143343384063899,3,0.247925063199898,0.339161587800102,"A"
"7","drought","WHCL",0.25566800025,0.0143343384063899,3,0.210049737949898,0.301286262550102,"AB"
"2","drought","SHMX",0.2752286945,0.0143343384063899,3,0.229610432199898,0.320846956800102,"AB"
