"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","Ambient","No residue",25.85625,4.53134326517705,3,11.4354933677651,40.2770066322349,"C"
"9","Ambient","Wheat",60.9125,4.53134326517705,3,46.4917433677651,75.3332566322349,"AB"
"7","Ambient","Clover",55.0975,4.53134326517705,3,40.676743367765,69.5182566322349,"AB"
"5","Ambient","Wheat-clover mix",52.46625,4.53134326517705,3,38.045493367765,66.8870066322349,"B"
"3","Ambient","Five-species mix",49.12875,4.53134326517705,3,34.7079933677651,63.5495066322349,"B"
"10","Drought","No residue",27.11125,4.53134326517705,3,12.6904933677651,41.5320066322349,"C"
"8","Drought","Wheat",50.19375,4.53134326517705,3,35.7729933677651,64.6145066322349,"B"
"1","Drought","Clover",72.84125,4.53134326517705,3,58.420493367765,87.2620066322349,"A"
"4","Drought","Wheat-clover mix",59.8,4.53134326517705,3,45.3792433677651,74.2207566322349,"AB"
"2","Drought","Five-species mix",64.595,4.53134326517706,3,50.174243367765,79.0157566322349,"AB"
