"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"8","Ambient","No residue",22.1379780717121,3.43216992374169,3,13.5163871805006,36.2589548937037,"C"
"6","Ambient","Wheat",45.3257395315605,7.02709341781999,3,27.6737217268241,74.2373101949464,"AB"
"9","Ambient","Clover",43.3569909397042,6.72186772455705,3,26.4716983016317,71.0127715239837,"AB"
"2","Ambient","Wheat-clover mix",51.8147645682222,8.03312190393974,3,31.6356090561622,84.8654382627521,"A"
"5","Ambient","Five-species mix",49.5829761787121,7.68711573473045,3,30.2729861517648,81.210076680705,"A"
"7","Drought","No residue",32.470190744276,5.03402847945999,3,19.8247404755153,53.181694270944,"BC"
"10","Drought","Wheat",45.4176700696476,7.04134590406212,3,27.7298501023456,74.3878797376144,"AB"
"3","Drought","Clover",48.425251029097,7.50762737199033,3,29.5661347256719,79.3138825547906,"AB"
"1","Drought","Wheat-clover mix",53.9133052025361,8.35846995630073,3,32.9168772747645,88.3025583988235,"A"
"4","Drought","Five-species mix",46.686799275324,7.23810583737466,3,28.5047194996517,76.4665383429232,"AB"
