"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"3","Ambient","No residue",0.000224540998912197,1.29103106318079e-05,3,0.000183454628541935,0.000265627369282459,"BC"
"1","Ambient","Wheat",0.000287535091791577,1.29103106318079e-05,3,0.000246448721421315,0.000328621462161839,"A"
"6","Ambient","Clover",0.000272960372325779,1.29103106318079e-05,3,0.000231874001955517,0.000314046742696041,"AB"
"8","Ambient","Wheat-clover mix",0.000277629317963123,1.29103106318079e-05,3,0.000236542947592861,0.000318715688333385,"AB"
"4","Ambient","Five-species mix",0.000271527720163087,1.29103106318079e-05,3,0.000230441349792825,0.000312614090533349,"AB"
"10","Drought","No residue",0.000205032677002599,1.29103106318079e-05,3,0.000163946306632338,0.000246119047372861,"C"
"9","Drought","Wheat",0.000258216920464239,1.29103106318079e-05,3,0.000217130550093978,0.000299303290834501,"ABC"
"5","Drought","Clover",0.000256294502975091,1.29103106318079e-05,3,0.000215208132604829,0.000297380873345353,"ABC"
"7","Drought","Wheat-clover mix",0.000250581344537082,1.29103106318079e-05,3,0.00020949497416682,0.000291667714907344,"ABC"
"2","Drought","Five-species mix",0.00028858907233099,1.29103106318079e-05,3,0.000247502701960729,0.000329675442701252,"A"
