"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"8","Ambient","No residue",96.6023340786188,0.291414020894878,3,95.674924604514,97.5297435527236,"A"
"2","Ambient","Wheat",95.2873712959617,0.291414020894878,3,94.359961821857,96.2147807700665,"BCD"
"6","Ambient","Clover",96.3856317068485,0.291414020894878,3,95.4582222327437,97.3130411809532,"AB"
"10","Ambient","Wheat-clover mix",96.0916123363583,0.291414020894878,3,95.1642028622535,97.019021810463,"ABC"
"4","Ambient","Five-species mix",96.7619515354849,0.291414020894878,3,95.8345420613801,97.6893610095897,"A"
"3","Drought","No residue",96.1935685904119,0.291414020894878,3,95.2661591163072,97.1209780645167,"ABC"
"9","Drought","Wheat",93.0797340393511,0.291414020894878,3,92.1523245652463,94.0071435134559,"E"
"5","Drought","Clover",94.9768410946794,0.291414020894878,3,94.0494316205746,95.9042505687841,"CD"
"1","Drought","Wheat-clover mix",94.3094525466956,0.291414020894878,3,93.3820430725908,95.2368620208003,"DE"
"7","Drought","Five-species mix",96.1098894214368,0.291414020894878,3,95.182479947332,97.0372988955416,"ABC"
