"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"4","Ambient","No residue",6.71301605999999,0.284220659089454,3,5.80849907359546,7.61753304640453,"C"
"9","Ambient","Wheat",7.96752522337499,0.284220659089454,3,7.06300823697046,8.87204220977953,"AB"
"8","Ambient","Clover",7.81033836762498,0.284220659089455,3,6.90582138122045,8.71485535402952,"ABC"
"2","Ambient","Wheat-clover mix",8.33361052349999,0.284220659089455,3,7.42909353709546,9.23812750990453,"A"
"3","Ambient","Five-species mix",7.91411051949999,0.284220659089454,3,7.00959353309546,8.81862750590453,"AB"
"7","Drought","No residue",6.93636895149999,0.284220659089454,3,6.03185196509546,7.84088593790453,"BC"
"1","Drought","Wheat",8.89239709824999,0.284220659089454,3,7.98788011184546,9.79691408465453,"A"
"10","Drought","Clover",7.84993168037499,0.284220659089455,3,6.94541469397046,8.75444866677953,"ABC"
"5","Drought","Wheat-clover mix",8.30510689312499,0.284220659089454,3,7.40058990672046,9.20962387952953,"A"
"6","Drought","Five-species mix",8.21034451662499,0.284220659089454,3,7.30582753022046,9.11486150302953,"A"
