"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","Ambient","No residue",9.10118129687499,0.0872170599674762,3,8.82361768662379,9.37874490712619,"AB"
"10","Ambient","Wheat",8.58040360549999,0.0872170599674762,3,8.30283999524879,8.8579672157512,"CD"
"4","Ambient","Clover",7.88462946262498,0.0872170599674762,3,7.60706585237378,8.16219307287618,"EF"
"8","Ambient","Wheat-clover mix",8.28802349074999,0.0872170599674762,3,8.01045988049879,8.5655871010012,"DE"
"2","Ambient","Five-species mix",7.74046437987499,0.0872170599674762,3,7.46290076962379,8.01802799012619,"F"
"9","Drought","No residue",9.22693801049999,0.0872170599674762,3,8.94937440024879,9.50450162075119,"A"
"5","Drought","Wheat",8.77725570074999,0.0872170599674762,3,8.49969209049879,9.05481931100119,"BC"
"1","Drought","Clover",7.84724088862499,0.0872170599674762,3,7.56967727837379,8.12480449887619,"F"
"7","Drought","Wheat-clover mix",8.27582159474999,0.0872170599674762,3,7.99825798449879,8.5533852050012,"DE"
"3","Drought","Five-species mix",8.03726814999999,0.0872170599674762,3,7.75970453974879,8.31483176025119,"EF"
