"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"5","Ambient","No residue",8.94812573865673,0.166254348680105,3,8.43436889419083,9.49317669635705,"A"
"10","Ambient","Wheat",8.29903095732611,0.154194300212572,3,7.82254190461408,8.80454405620152,"B"
"1","Ambient","Clover",7.29813015751207,0.135597767773651,3,6.87910784717206,7.74267608231829,"DE"
"8","Ambient","Wheat-clover mix",7.79325707363466,0.144797124751652,3,7.34580704005218,8.26796231981138,"BCD"
"2","Ambient","Five-species mix",7.25594258664221,0.134813931323179,3,6.83934247665106,7.69791876929491,"E"
"9","Drought","No residue",8.99601332541614,0.167144090261647,3,8.47950701405838,9.54398122637223,"A"
"6","Drought","Wheat",8.23879429344547,0.153075115300264,3,7.76576373017137,8.74063823832196,"B"
"4","Drought","Clover",7.45625974501605,0.13853578321346,3,7.02815842078358,7.91043770737148,"CDE"
"7","Drought","Wheat-clover mix",7.85474031574653,0.145939470832898,3,7.40376022040839,8.3331906478747,"BC"
"3","Drought","Five-species mix",7.3824256338941,0.137163960508519,3,6.95856349684472,7.83210619040686,"CDE"
