"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"10","Ambient","No residue",0.7561379195,0.0508922720985045,3,0.594175996192621,0.918099842807379,"C"
"4","Ambient","Wheat",0.961440931875,0.0508922720985046,3,0.799479008567621,1.12340285518238,"AB"
"8","Ambient","Clover",1.076911467375,0.0508922720985046,3,0.91494954406762,1.23887339068238,"A"
"6","Ambient","Wheat-clover mix",1.078738011125,0.0508922720985046,3,0.916776087817621,1.24069993443238,"A"
"2","Ambient","Five-species mix",1.09103327875,0.0508922720985046,3,0.929071355442621,1.25299520205738,"A"
"9","Drought","No residue",0.7715945595,0.0508922720985046,3,0.609632636192621,0.933556482807379,"BC"
"3","Drought","Wheat",1.083128770875,0.0508922720985046,3,0.921166847567621,1.24509069418238,"A"
"7","Drought","Clover",1.055165756875,0.0508922720985046,3,0.893203833567621,1.21712768018238,"A"
"5","Drought","Wheat-clover mix",1.061322689625,0.0508922720985046,3,0.899360766317621,1.22328461293238,"A"
"1","Drought","Five-species mix",1.114887091375,0.0508922720985046,3,0.952925168067621,1.27684901468238,"A"
