"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue",458.667458762499,84.0901555096899,3,191.055054049954,726.279863475044,"A"
"4","Ambient","Wheat",780.766471149999,84.09015550969,3,513.154066437454,1048.37887586254,"A"
"8","Ambient","Clover",655.650249062499,84.09015550969,3,388.037844349953,923.262653775044,"A"
"6","Ambient","Wheat-clover mix",709.16730345,84.09015550969,3,441.554898737454,976.779708162545,"A"
"1","Ambient","Five-species mix",831.12929385,84.0901555096899,3,563.516889137454,1098.74169856254,"A"
"10","Drought","No residue",566.3733442625,84.09015550969,3,298.760939549954,833.985748975045,"A"
"3","Drought","Wheat",699.391014225,84.09015550969,3,431.778609512454,967.003418937545,"A"
"7","Drought","Clover",749.695679749999,84.09015550969,3,482.083275037454,1017.30808446254,"A"
"5","Drought","Wheat-clover mix",802.863082637499,84.09015550969,3,535.250677924954,1070.47548735004,"A"
"2","Drought","Five-species mix",813.331312499999,84.09015550969,3,545.718907787454,1080.94371721254,"A"
