"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"4","Ambient","No residue",457.8775009125,60.3911812543459,3,265.685809257888,650.069192567111,"A"
"10","Ambient","Wheat",502.918431875,60.3911812543459,3,310.726740220388,695.110123529612,"A"
"7","Ambient","Clover",607.732835749999,60.3911812543459,3,415.541144095387,799.924527404611,"A"
"5","Ambient","Wheat-clover mix",581.7337617625,60.3911812543459,3,389.542070107888,773.925453417112,"A"
"2","Ambient","Five-species mix",621.1327261125,60.3911812543459,3,428.941034457888,813.324417767112,"A"
"9","Drought","No residue",515.1455538125,60.3911812543459,3,322.953862157888,707.337245467112,"A"
"1","Drought","Wheat",679.86314405,60.3911812543459,3,487.671452395388,872.054835704612,"A"
"8","Drought","Clover",607.0258416875,60.3911812543459,3,414.834150032888,799.217533342112,"A"
"6","Drought","Wheat-clover mix",589.0487606,60.3911812543459,3,396.857068945388,781.240452254612,"A"
"3","Drought","Five-species mix",641.146509025,60.3911812543459,3,448.954817370388,833.338200679612,"A"
