"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"8","Ambient","No residue",2.06810459824828,0.16864209143904,3,1.59539643831595,2.68087387346207,"BC"
"5","Ambient","Wheat",2.80413663048636,0.228661290365387,3,2.16319309797896,3.63498859615531,"AB"
"3","Ambient","Clover",2.58046447461216,0.210422106430854,3,1.99064584812786,3.34504347470836,"ABC"
"9","Ambient","Wheat-clover mix",2.59769279651948,0.211826977461505,3,2.00393628006848,3.3673764641152,"ABC"
"7","Ambient","Five-species mix",2.78510647697277,0.227109490281554,3,2.14851268038214,3.61031990125189,"AB"
"6","Drought","No residue",1.86256659429157,0.151881643787202,3,1.43683840419676,2.4144359644328,"C"
"10","Drought","Wheat",2.35391308781295,0.191948137696103,3,1.81587747524134,3.05136602029864,"ABC"
"2","Drought","Clover",3.17363470905449,0.258791743537444,3,2.44823473417643,4.11396714780438,"A"
"1","Drought","Wheat-clover mix",3.0984751186081,0.252662909176108,3,2.39025442553777,4.01653813839232,"A"
"4","Drought","Five-species mix",2.98984349395453,0.243804622030711,3,2.30645280969707,3.87571949478398,"AB"
