"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"8","Ambient","No residue",18.4237329352351,0.71772162951336,3,16.2755361900958,20.8554686803757,"A"
"6","Ambient","Wheat",16.2823727355316,0.63430202408872,3,14.3838573675239,18.4314718315661,"AB"
"9","Ambient","Clover",16.5091822603495,0.643137698287525,3,14.5842210311967,18.6882177884187,"AB"
"4","Ambient","Wheat-clover mix",16.9501165158103,0.660314893237649,3,14.9737426041283,19.1873506507541,"AB"
"5","Ambient","Five-species mix",16.1421571440494,0.628839734597469,3,14.2599908339823,18.2727492813134,"AB"
"10","Drought","No residue",18.3162217947851,0.713533386490851,3,16.1805607872617,20.7337672189875,"A"
"7","Drought","Wheat",16.1359797927182,0.628599087456138,3,14.2545337582907,18.26575658566,"AB"
"3","Drought","Clover",16.2090171069698,0.63144435558851,3,14.3190549633857,18.3484340444154,"AB"
"1","Drought","Wheat-clover mix",15.4080648064731,0.600242166960625,3,13.6114932439936,17.4417646047201,"B"
"2","Drought","Five-species mix",15.8177744606346,0.616202965005508,3,13.9734309863164,17.9055515522649,"AB"
