"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","Ambient","No residue",0.133361613241135,0.00912346247202119,3,0.107269948644748,0.165799649491572,"B"
"10","Ambient","Wheat",0.202009764058506,0.0138197825939403,3,0.162487364164621,0.25114534280727,"A"
"9","Ambient","Clover",0.207342811779668,0.0141846241668863,3,0.166777022494822,0.257775567362904,"A"
"8","Ambient","Wheat-clover mix",0.20004271662753,0.0136852140102149,3,0.160905161671906,0.24869984318663,"A"
"5","Ambient","Five-species mix",0.218877121167283,0.0149737030950807,3,0.176054690525314,0.272115409294301,"A"
"4","Drought","No residue",0.146461331089879,0.0100196332762164,3,0.11780675925122,0.182085659948217,"B"
"2","Drought","Wheat",0.24707807326395,0.0169029713595849,3,0.198738239483834,0.307175782810492,"A"
"1","Drought","Clover",0.259756310278191,0.0177703080451548,3,0.208936030290132,0.322937794097289,"A"
"7","Drought","Wheat-clover mix",0.24530291812649,0.0167815304075371,3,0.197310386327263,0.304968850152503,"A"
"3","Drought","Five-species mix",0.242703637183584,0.0166037098071372,3,0.195219644272766,0.301737336534826,"A"
