"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"5","Ambient","No residue",0.306188039312866,0.0251728907422189,3,0.235699650756994,0.397756700602475,"A"
"10","Ambient","Wheat",0.356141875727366,0.024708630041932,3,0.285583787433867,0.444132479600154,"A"
"1","Ambient","Clover",0.363259991736392,0.0754532122393596,3,0.187558104292485,0.703557023537326,"A"
"2","Ambient","Wheat-clover mix",0.348693833705454,0.0335258006445618,3,0.25677807788884,0.473511565566133,"A"
"6","Ambient","Five-species mix",0.318626267163851,0.0394964511631628,3,0.214761347350628,0.472723324654038,"A"
"7","Drought","No residue",0.360752642064441,0.0424106810903998,3,0.248156311633277,0.524437472091372,"A"
"8","Drought","Wheat",0.341082869002637,0.0498341006055763,3,0.214251893132697,0.542994145003968,"A"
"9","Drought","Clover",0.362423575456719,0.0558310051071653,3,0.221974124044143,0.591739458878148,"A"
"4","Drought","Wheat-clover mix",0.362004702301291,0.0279539395025371,3,0.283130877960232,0.462850980551309,"A"
"3","Drought","Five-species mix",0.351938444761946,0.0378040566472417,3,0.250036897025197,0.49536956495255,"A"
