"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","Ambient","No residue",0.0259815203227398,0.00268541483715383,3,0.0186986658829475,0.0361009390994333,"CD"
"2","Ambient","Wheat",0.0208745659388126,0.00251291838998356,3,0.0142310013125675,0.0306195954566476,"D"
"4","Ambient","Clover",0.0466787568413642,0.00578289629185509,3,0.0314696975250088,0.0692382358782964,"AB"
"10","Ambient","Wheat-clover mix",0.0347939619609217,0.00298296499205697,3,0.0264857155255007,0.0457084041309915,"BC"
"8","Ambient","Five-species mix",0.0478124128158659,0.00316258391135898,3,0.0387364205224196,0.0590149215762381,"AB"
"3","Drought","No residue",0.0526458126324471,0.00176800114165894,3,0.0473094848834005,0.0585840576062412,"A"
"5","Drought","Wheat",0.0246551488775976,0.00478647203858208,3,0.0132919125770906,0.0457327989972047,"BCD"
"1","Drought","Clover",0.0411404470110219,0.00690301758331607,3,0.0241191055962522,0.070174093873933,"ABCD"
"9","Drought","Wheat-clover mix",0.0234571523871241,0.00328127575626564,3,0.0150293168804762,0.0366109785620095,"CD"
"7","Drought","Five-species mix",0.0325730184428972,0.00878512327882813,3,0.0138067957370258,0.0768463263084299,"ABCD"
