"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"7","Ambient","No residue",0.829266767006587,0.0384986147649541,3,0.71536806863834,0.961300064972875,"A"
"9","Ambient","Wheat",0.699551363369141,0.00587782968388339,3,0.681093367552534,0.71850958077914,"B"
"6","Ambient","Clover",0.633127108950153,0.00435711864074824,3,0.619411555180212,0.6471463645378,"C"
"1","Ambient","Wheat-clover mix",0.599957832941633,0.00460627426144123,3,0.585476252565501,0.614797610886447,"D"
"3","Ambient","Five-species mix",0.603120144380633,0.00504784085291416,3,0.587267718753251,0.619400482849546,"D"
"10","Drought","No residue",0.873816130248476,0.00710637062235311,3,0.851490641723476,0.89672697745325,"A"
"8","Drought","Wheat",0.707197777412947,0.00668906744018513,3,0.686227381321228,0.728809007030424,"B"
"5","Drought","Clover",0.628263925939391,0.00455854233843762,3,0.613922822981692,0.6429400339276,"C"
"4","Drought","Wheat-clover mix",0.600476090196813,0.00434026618013675,3,0.586821080332172,0.614448844772154,"D"
"2","Drought","Five-species mix",0.59642197694884,0.0063953861977702,3,0.576412360844615,0.617126208165155,"D"
