"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue",234.057614747322,27.4734130038521,3,161.098410443767,340.059016537151,"A"
"8","Ambient","Wheat",48.3519634637861,1.95972160957311,3,42.5007275116223,55.0087612068282,"B"
"6","Ambient","Clover",27.9023620505649,1.32128727653367,3,23.9989461350774,32.4406665033874,"C"
"2","Ambient","Wheat-clover mix",19.4038268703464,0.981037591931003,3,16.5199556873081,22.7911323941166,"DE"
"1","Ambient","Five-species mix",17.3886269680072,0.933953943981534,3,14.6565187775307,20.6300249344373,"E"
"7","Drought","No residue",191.8596759979,42.6063584522578,3,94.6359163341097,388.965803892699,"A"
"10","Drought","Wheat",51.8481870145213,2.41508776240605,3,44.7048352811735,60.1329695050877,"B"
"5","Drought","Clover",28.5069926193028,1.51716938299464,3,24.0654350170172,33.7682916441087,"C"
"3","Drought","Wheat-clover mix",21.6567350834647,1.08340545835891,3,18.4693132077955,25.3942401213604,"D"
"4","Drought","Five-species mix",19.9646746020216,0.974736762148499,3,17.0916088785776,23.3206970037906,"DE"
