"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue",118.433279551825,40.2199526881165,3,40.1888944772606,349.012877508662,"A"
"8","Ambient","Wheat",36.2250090777008,1.97424978498833,3,30.456747904561,43.0857321599655,"B"
"6","Ambient","Clover",19.8677727483984,0.627919441328791,3,17.9666630244548,21.9700449351518,"C"
"4","Ambient","Wheat-clover mix",15.1796589492927,0.483315669702627,3,13.7168937497039,16.7984129658959,"DE"
"1","Ambient","Five-species mix",14.0453017932999,0.424688110409121,3,12.7567462135806,15.4640140332072,"E"
"10","Drought","No residue",193.794184414999,23.4976721650108,3,131.752213197321,285.051651138701,"A"
"7","Drought","Wheat",37.3052360503112,2.67720598439175,3,29.6880853771437,46.8767392403442,"B"
"5","Drought","Clover",18.7592903764819,0.550481147868148,3,17.0867270260248,20.5955754366047,"C"
"3","Drought","Wheat-clover mix",15.5120901733082,0.446754436669826,3,14.1535290714627,17.0010560850162,"D"
"2","Drought","Five-species mix",13.9669961183259,0.475808059649409,3,12.5319577717791,15.5663611481862,"E"
