"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"5","Ambient","No residue",1027.5,79.4694461845974,3,774.592754606885,1280.40724539311,"AB"
"7","Ambient","Wheat",790.75,28.6342391845562,3,699.623071302499,881.8769286975,"B"
"1","Ambient","Clover",516.124999999999,52.1767034662274,3,350.07544283202,682.174557167978,"CD"
"3","Ambient","Wheat-clover mix",540.57142869629,35.8726964068725,3,426.408498555675,654.734358836906,"CD"
"2","Ambient","Five-species mix",478.375,22.5237475101626,3,406.69438295514,550.05561704486,"D"
"9","Drought","No residue",1030,43.0771734869301,3,892.909208394454,1167.09079160555,"A"
"10","Drought","Wheat",830.125,49.7369648740605,3,671.83977990052,988.410220099479,"AB"
"8","Drought","Clover",571.625,30.6168356812034,3,474.188564406876,669.061435593124,"CD"
"6","Drought","Wheat-clover mix",629,14.0242139189234,3,584.368692229213,673.631307770786,"C"
"4","Drought","Five-species mix",520,26.5410733836999,3,435.534459071781,604.46554092822,"D"
