"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue",6.07372351523334,0.0828007464695542,3,5.8158489857569,6.34303219183354,"A"
"8","Ambient","Wheat",4.85480598048363,0.0347799121536859,3,4.74537300440912,4.96676258878714,"B"
"6","Ambient","Clover",4.19840433902346,0.0317629952134297,3,4.09852749308039,4.30071507966953,"CD"
"4","Ambient","Wheat-clover mix",3.98941454096201,0.0477509414606181,3,3.84030765313987,4.1443107732857,"EF"
"1","Ambient","Five-species mix",3.81819840311557,0.0411620744293361,3,3.68942396186113,3.9514675451395,"F"
"10","Drought","No residue",6.00056515795165,0.104526088058888,3,5.67696884191464,6.34260698226407,"A"
"7","Drought","Wheat",4.93786188779736,0.0452923391352761,3,4.79580492017848,5.08412673759348,"B"
"5","Drought","Clover",4.28837772755279,0.0375768212553576,3,4.17044351773711,4.40964694904906,"C"
"3","Drought","Wheat-clover mix",4.13290927781526,0.0320330469467875,3,4.0322128341608,4.23612041357097,"DE"
"2","Drought","Five-species mix",3.95443078490158,0.037162322266744,3,3.83791472584812,4.07448417945807,"F"
