"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue",5.5179271728434,0.256080511368488,3,4.76029045777247,6.39614757857678,"A"
"8","Ambient","Wheat",4.59270472323579,0.0396817457742092,3,4.46814011498946,4.72074199375955,"B"
"6","Ambient","Clover",3.83803418278916,0.0241322329727237,3,3.76199793158343,3.91560725341972,"C"
"4","Ambient","Wheat-clover mix",3.66348102128971,0.0316331750771436,3,3.56418075306157,3.76554785607362,"E"
"1","Ambient","Five-species mix",3.53549210673977,0.030807841832927,3,3.43879477947071,3.63490851836849,"F"
"10","Drought","No residue",5.89155036234496,0.0850375540165638,3,5.62704443950982,6.16848970097537,"A"
"7","Drought","Wheat",4.62946733178773,0.0601990129445901,3,4.44179714232535,4.82506676675238,"B"
"5","Drought","Clover",3.82616306273721,0.0290305207443351,3,3.73488148520268,3.91967558827643,"CD"
"3","Drought","Wheat-clover mix",3.74647481831164,0.0256860929679224,3,3.66561555169085,3.82911774743229,"DE"
"2","Drought","Five-species mix",3.53458023959764,0.0298368336896332,3,3.44089021278747,3.63082129843174,"F"
