"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue",0.984623790165583,0.00916910973940132,3,0.955443590752684,1.01380398957848,"AB"
"8","Ambient","Wheat",0.972050826147865,0.00158725796180792,3,0.966999462911777,0.977102189383953,"B"
"6","Ambient","Clover",0.949535961552841,0.0015558610216366,3,0.944584517392999,0.954487405712683,"C"
"4","Ambient","Wheat-clover mix",0.93395267210155,0.00191365252165745,3,0.927862575704404,0.940042768498696,"DE"
"1","Ambient","Five-species mix",0.928670489495144,0.00179549831043179,3,0.922956412530968,0.934384566459321,"E"
"10","Drought","No residue",0.994529597169056,0.00142249911191353,3,0.990002570126077,0.999056624212034,"A"
"7","Drought","Wheat",0.972712423662904,0.00205656260907184,3,0.966167523586079,0.979257323739729,"B"
"5","Drought","Clover",0.946623529406707,0.00149129234488225,3,0.941877571593638,0.951369487219775,"C"
"3","Drought","Wheat-clover mix",0.935426509182686,0.00159677629311009,3,0.930344854368313,0.940508163997059,"D"
"2","Drought","Five-species mix",0.928118936799873,0.00232078952190909,3,0.920733148760532,0.935504724839214,"DE"
