"","Moisture.treatment","Residue.type","Glucose.addition.treatment","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue","G-00",0.994713895429541,0.0127346518359515,3,0.954186549745143,1.03524124111394,"ABC"
"8","Ambient","Wheat","G-00",0.972865707564745,0.00200325676665011,3,0.966490450469185,0.979240964660305,"B"
"16","Ambient","Clover","G-00",0.949723825870566,0.00201516786489997,3,0.943310662344389,0.956136989396744,"CD"
"14","Ambient","Wheat-clover mix","G-00",0.936884563994237,0.00203178931906834,3,0.930418503582653,0.943350624405821,"E"
"1","Ambient","Five-species mix","G-00",0.928206774591575,0.00244228912159338,3,0.920434320600125,0.935979228583024,"EF"
"19","Drought","No residue","G-00",0.994213058627002,0.0018403518640807,3,0.988356237636736,1.00006987961727,"A"
"10","Drought","Wheat","G-00",0.974853075408358,0.00259881619263897,3,0.966582482417983,0.983123668398734,"B"
"15","Drought","Clover","G-00",0.946931382905746,0.00195697672041968,3,0.94070340957232,0.953159356239172,"D"
"3","Drought","Wheat-clover mix","G-00",0.934108310035356,0.00197163386104376,3,0.927833691138905,0.940382928931807,"EF"
"4","Drought","Five-species mix","G-00",0.930961331810115,0.00283892278525713,3,0.921926612481187,0.939996051139042,"EF"
"17","Ambient","No residue","G-50",0.974533684901622,0.0127346518359516,3,0.934006339217224,1.01506103058602,"ABCDE"
"18","Ambient","Wheat","G-50",0.971235944730983,0.00200325676665012,3,0.964860687635423,0.977611201826544,"B"
"6","Ambient","Clover","G-50",0.949348097235112,0.00201516786489998,3,0.942934933708935,0.95576126076129,"CD"
"11","Ambient","Wheat-clover mix","G-50",0.931020780208861,0.00203178931906834,3,0.924554719797277,0.937486840620445,"EF"
"2","Ambient","Five-species mix","G-50",0.929134204398713,0.00244228912159339,3,0.921361750407263,0.936906658390162,"EF"
"20","Drought","No residue","G-50",0.994846135711109,0.00184035186408069,3,0.988989314720843,1.00070295670137,"A"
"7","Drought","Wheat","G-50",0.970571771917448,0.00259881619263892,3,0.962301178927073,0.978842364907823,"B"
"5","Drought","Clover","G-50",0.946315675907666,0.00195697672041968,3,0.94008770257424,0.952543649241092,"D"
"13","Drought","Wheat-clover mix","G-50",0.936744708330014,0.00197163386104369,3,0.930470089433564,0.943019327226465,"E"
"12","Drought","Five-species mix","G-50",0.92527654178963,0.00283892278525715,3,0.916241822460703,0.934311261118558,"F"
