"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"8","Ambient","No residue",3.35335838525,0.539285070374864,3,1.63711260554085,5.06960416495915,"DE"
"7","Ambient","Wheat",6.8733363845,2.50329262878159,3,-1.0932579930099,14.8399307620099,"ABCDE"
"6","Ambient","Clover",4.314949106,0.274522106713019,3,3.44129724177245,5.18860097022755,"CD"
"3","Ambient","Wheat-clover mix",5.160902789,0.451845523016377,3,3.72292867371755,6.59887690428245,"BCD"
"10","Ambient","Five-species mix",5.09954326324999,1.17617986243393,3,1.35641400569802,8.84267252080197,"ABCDE"
"4","Drought","No residue",2.17927967475,0.456641711398869,3,0.726041947470241,3.63251740202976,"E"
"2","Drought","Wheat",8.7339043825,1.34832360145648,3,4.442936918718,13.024871846282,"ABC"
"5","Drought","Clover",7.35087130575,0.895244983202729,3,4.5018022166327,10.1999403948673,"AB"
"1","Drought","Wheat-clover mix",7.85806393175,0.635699880483268,3,5.83498319583673,9.88114466766327,"A"
"9","Drought","Five-species mix",7.18206912125,0.48349764797213,3,5.64336381784773,8.72077442465227,"A"
