"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"9","Ambient","No residue",18.5313002022207,1.00650687134957,3,15.589696089113,22.0279526439674,"A"
"4","Ambient","Wheat",18.5292571704572,0.729413337836484,3,16.3474575669856,21.0022488134372,"A"
"8","Ambient","Clover",18.1314706282224,1.15321691016168,3,14.8090107827708,22.1993374145265,"A"
"2","Ambient","Wheat-clover mix",17.5584493476598,0.758145185308456,3,15.3041256295967,20.1448387811268,"A"
"1","Ambient","Five-species mix",17.1228416525181,0.39374538446757,3,15.9145206381702,18.4229052777124,"A"
"7","Drought","No residue",17.6035552673043,0.870653985061068,3,15.0398044995623,20.604334189188,"A"
"3","Drought","Wheat",17.1886501883211,0.557048590565589,3,15.5042284930837,19.0560720533929,"A"
"10","Drought","Clover",17.6568500626128,0.485332650203318,3,16.1779325614156,19.2709638855307,"A"
"5","Drought","Wheat-clover mix",17.2560329658344,1.04114416914307,3,14.2413351161136,20.908901538385,"A"
"6","Drought","Five-species mix",17.3731874814935,0.799816653761988,3,15.0054949641648,20.1144743300989,"A"
