"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"8","Ambient","No residue",15.3142699,1.55818632505087,3,10.3554255868983,20.2731142131017,"A"
"5","Ambient","Wheat",10.76610455,1.32349743115842,3,6.55414504015741,14.9780640598426,"C"
"3","Ambient","Clover",10.9512028049758,1.58334641208616,3,5.91228786584802,15.9901177441036,"BC"
"10","Ambient","Wheat-clover mix",10.19126594225,1.63796678085713,3,4.97852461233378,15.4040072721662,"BC"
"4","Ambient","Five-species mix",9.86890403900001,1.82854410289633,3,4.04966061468928,15.6881474633107,"BC"
"6","Drought","No residue",13.4065063425,1.42979842820897,3,8.85624961734592,17.9567630676541,"AB"
"9","Drought","Wheat",11.48223816,2.24868906779817,3,4.32590594445387,18.6385703755461,"ABC"
"2","Drought","Clover",9.42202532375001,1.42954889886027,3,4.87256271234974,13.9714879351503,"C"
"1","Drought","Wheat-clover mix",9.05028320300001,1.45262091027944,3,4.42739515410334,13.6731712518967,"C"
"7","Drought","Five-species mix",11.1114423955,1.63342880197101,3,5.91314293972337,16.3097418512766,"ABC"
