"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"10","Ambient","No residue",3.67060545475,0.597194045549695,3,1.77006747095294,5.57114343854705,"A"
"6","Ambient","Wheat",4.10248061175,0.580513423711356,3,2.2550278112922,5.9499334122078,"A"
"4","Ambient","Clover",3.84475903025,1.14308564598172,3,0.206950339572648,7.48256772092735,"A"
"8","Ambient","Wheat-clover mix",4.4474915265,1.09345395710029,3,0.967633020728337,7.92735003227166,"A"
"2","Ambient","Five-species mix",3.75560171425,0.596787498205424,3,1.85635754554664,5.65484588295336,"A"
"9","Drought","No residue",5.06253906925,0.578455433375691,3,3.22163571253224,6.90344242596775,"A"
"5","Drought","Wheat",4.60758388225,1.1867621960339,3,0.830776916231534,8.38439084826846,"A"
"3","Drought","Clover",4.324559921,0.199483802776478,3,3.68971342989005,4.95940641210994,"A"
"7","Drought","Wheat-clover mix",4.02509365125,0.620140552725238,3,2.05152964047297,5.99865766202703,"A"
"1","Drought","Five-species mix",5.13939399375,1.38949917369909,3,0.717387482216563,9.56140050528343,"A"
