"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"5","Ambient","No residue",1.8686200845,0.347163538104208,3,0.763790765331045,2.97344940366896,"AB"
"10","Ambient","Wheat",1.94605789325,0.726091993477364,3,-0.364690888688118,4.25680667518812,"AB"
"1","Ambient","Clover",1.849355165,0.414957211926302,3,0.528776119054317,3.16993421094569,"AB"
"4","Ambient","Wheat-clover mix",2.00227249625,0.681747535803635,3,-0.167352430204551,4.17189742270455,"AB"
"8","Ambient","Five-species mix",0.96635697125,0.230552079644846,3,0.232637357208786,1.70007658529121,"B"
"6","Drought","No residue",2.0693833525,0.376134641354054,3,0.872355052833578,3.26641165216642,"AB"
"7","Drought","Wheat",1.7390923685,0.290747796168432,3,0.813803118814392,2.66438161818561,"AB"
"2","Drought","Clover",1.2080056695,0.35889138280526,3,0.0658531142932388,2.35015822470676,"AB"
"9","Drought","Wheat-clover mix",3.59715729675,0.862707219761808,3,0.851637892677455,6.34267670082254,"AB"
"3","Drought","Five-species mix",1.742073147,0.172880876935206,3,1.19188903894335,2.29225725505665,"A"
