"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"6","Ambient","No residue",31.165590865,1.0985201499887,3,27.6696094723888,34.6615722576112,"AB"
"10","Ambient","Wheat",29.968717175,0.92554808470453,3,27.0232100924697,32.9142242575303,"AB"
"9","Ambient","Clover",28.6831867725,0.801395906682457,3,26.1327873302089,31.2335862147911,"B"
"4","Ambient","Wheat-clover mix",30.313115135,1.36497890370439,3,25.9691430661158,34.6570872038843,"AB"
"5","Ambient","Five-species mix",31.5381136975,1.32307560997505,3,27.3274966109239,35.7487307840761,"AB"
"8","Drought","No residue",31.032159075,3.10343636209337,3,21.1556394907728,40.9086786592272,"AB"
"7","Drought","Wheat",30.60487771,1.93068314802592,3,24.4605822588914,36.7491731611086,"AB"
"1","Drought","Clover",30.054778845,0.932269867783826,3,27.087880048744,33.021677641256,"AB"
"2","Drought","Wheat-clover mix",30.1806715425,1.25319145467232,3,26.192457027765,34.168886057235,"AB"
"3","Drought","Five-species mix",31.5081397325,0.72488256087107,3,29.2012399048913,33.8150395601087,"A"
