"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"10","Ambient","No residue",-1.7847336435,0.194379217255448,3,-2.40333506527854,-1.16613222172146,"C"
"6","Ambient","Wheat",0.367779692750003,1.76262318137166,3,-5.24167393841366,5.97723332391366,"ABC"
"2","Ambient","Clover",4.16006382697812,1.31892606821127,3,-0.0373475657431968,8.35747521969945,"A"
"9","Ambient","Wheat-clover mix",1.4539561085,0.444522865088046,3,0.0392859588864209,2.86862625811358,"A"
"7","Ambient","Five-species mix",1.6738562165,0.561689609035575,3,-0.113690804491515,3.46140323749151,"A"
"5","Drought","No residue",-0.37710149275,0.168846393559135,3,-0.914446074092748,0.160243088592748,"B"
"8","Drought","Wheat",-0.460729156999998,2.36770070910923,3,-7.99580953072229,7.07435121672229,"ABC"
"3","Drought","Clover",3.11386575225,0.419656496011591,3,1.7783314870296,4.44940001747039,"A"
"4","Drought","Wheat-clover mix",4.36995710575,2.73070929441313,3,-4.32037859905893,13.0602928105589,"ABC"
"1","Drought","Five-species mix",4.59220528325,4.24930109952508,3,-8.93096730097159,18.1153778674716,"ABC"
