"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"3","Ambient","No residue",-5.72878008251133,12.7644045516922,3,-46.3508121871909,34.8932520221682,"B"
"1","Ambient","Wheat",31.2903601450141,31.6724647040482,3,-69.5055581316128,132.086278421641,"ABC"
"8","Ambient","Clover",18.600754271499,42.6274375434587,3,-117.058776842393,154.260285385391,"ABC"
"9","Ambient","Wheat-clover mix",4.66004068751405,30.5561747881974,3,-92.5833448707881,101.903426245816,"ABC"
"7","Ambient","Five-species mix",21.9855081956234,21.6585809992273,3,-46.9417628830554,90.9127792743021,"AB"
"6","Drought","No residue",20.3656748167657,13.313984804485,3,-22.0053669328711,62.7367165664024,"B"
"10","Drought","Wheat",126.994867885558,29.3683619354314,3,33.5316329519096,220.458102819206,"A"
"2","Drought","Clover",15.255958162264,26.5280524891773,3,-69.1681444682905,99.6800607928186,"ABC"
"5","Drought","Wheat-clover mix",15.8818269582823,40.557043044783,3,-113.18878483282,144.952438749384,"ABC"
"4","Drought","Five-species mix",-55.850536307486,10.8917173883345,3,-90.5128420681854,-21.1882305467866,"C"
