"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"4","Ambient","No residue",2.37104966271418,0.0261864041676688,3,2.28771283752212,2.45438648790625,"A"
"7","Ambient","Wheat",1.85309876000012,0.0349055707877632,3,1.74201365521279,1.96418386478746,"E"
"9","Ambient","Clover",1.87097022481866,0.0746974070928143,3,1.63324973760186,2.10869071203546,"CDEF"
"3","Ambient","Wheat-clover mix",2.25185628366024,0.0454044510331039,3,2.1073590562265,2.39635351109398,"AB"
"5","Ambient","Five-species mix",2.10545715930382,0.0436757295666207,3,1.96646149511396,2.24445282349368,"BC"
"8","Drought","No residue",2.26081140920469,0.0705683642752682,3,2.03623137904695,2.48539143936244,"AB"
"1","Drought","Wheat",1.41876171800172,0.0791582454055528,3,1.16684485237807,1.67067858362536,"G"
"10","Drought","Clover",1.93855839263243,0.0252327980457243,3,1.85825636771984,2.01886041754501,"D"
"2","Drought","Wheat-clover mix",1.61016367871997,0.0498897075125899,3,1.45139236337484,1.7689349940651,"FG"
"6","Drought","Five-species mix",1.92943537319652,0.100557279719617,3,1.60941722988345,2.2494535165096,"BCDEF"
