"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"10","Ambient","No residue",0.301741951500001,0.320052815677724,3,-0.71680894924922,1.32029285224922,"AB"
"5","Ambient","Wheat",-0.5096195165,0.21498806881476,3,-1.19380750177961,0.174568468779613,"B"
"3","Ambient","Clover",0.60627945275,0.260468499764988,3,-0.222647561969876,1.43520646746987,"A"
"9","Ambient","Wheat-clover mix",0.10384452175,0.431821798343905,3,-1.27040516493053,1.47809420843053,"AB"
"7","Ambient","Five-species mix",0.0646974677500005,0.152153174955028,3,-0.419521841722812,0.548916777222813,"AB"
"6","Drought","No residue",-0.0246582280000002,0.1810935782998,3,-0.600978817170804,0.551662361170804,"AB"
"8","Drought","Wheat",-0.25173195625,0.327206624935392,3,-1.29304947083999,0.789585558339991,"AB"
"2","Drought","Clover",0.22059516925,0.139904855101382,3,-0.224644519958647,0.665834858458647,"A"
"4","Drought","Wheat-clover mix",0.327205815,0.229570152896593,3,-0.403388869889178,1.05780049988918,"AB"
"1","Drought","Five-species mix",-0.0432201324999997,0.205678919125964,3,-0.697782248747171,0.611341983747172,"AB"
