"","Moisture.treatment","Residue.type","response","SE","df","lower.CL","upper.CL",".group"
"2","Ambient","No residue",0.978677067499999,1.60980470605836,3,-4.14443997152375,6.10179410652375,"A"
"6","Ambient","Wheat",1.5215407925,3.45892411949853,3,-9.4862994918548,12.5293810768548,"A"
"8","Ambient","Clover",7.599904875,3.95562194967251,3,-4.98864958383442,20.1884593338344,"A"
"9","Ambient","Wheat-clover mix",0.1398016425,0.850964443313274,3,-2.56834700605014,2.84795029105014,"A"
"7","Ambient","Five-species mix",5.346515715,2.79403607970163,3,-3.54535408367583,14.2383855136758,"A"
"1","Drought","No residue",1.634835375,0.743713440270052,3,-0.731992715177265,4.00166346517726,"A"
"10","Drought","Wheat",0.882285432499999,0.716834657787574,3,-1.39900237567538,3.16357324067537,"A"
"3","Drought","Clover",1.040690425,2.49956722330588,3,-6.91404804961807,8.99542889961806,"A"
"5","Drought","Wheat-clover mix",-0.814293085,2.11264445557562,3,-7.53767062702475,5.90908445702475,"A"
"4","Drought","Five-species mix",3.273807875,1.20529933416756,3,-0.561992537782469,7.10960828778247,"A"
