Trophic_mode,Guild,Ectomycorrhiza_lineage,Ectomycorrhiza exploration type,Growth_form,Fruitbody_type,Hymenium_type,Decay_type,Decay_substrate,Endophytic_interaction_capability,Plant_pathogenic_capacity,Animal/human_biotrophic_interaction_capacity,Aquatic_habitat
pathotroph,algal_ectosymbiont,/acephala_macrosclerotiorum,contact,amoeboid,agaricoid,closed,blue-staining,algal_material,class1_clavicipitaceous_endophyte,algal_parasite,animal_endosymbiont,aquatic
saprotroph,algal_parasite,/albatrellus,short-distance_delicate,amoeboid-colonial,apothecium_(hymenium on surface),gel,brown_rot,animal_material,foliar_endophyte,leaf/fruit/seed_pathogen,animal_parasite,freshwater
symbiotroph,algivorous/protistivorous,/aleurina,short-distance_coarse,amoeboid-biflagellate,clathroid,gills,chitinolytic,burnt_material,no_endophytic_capacity,moss-associated,animal_parasite/opportunistic_human_parasite,marine
,animal_endosymbiont,/amanita,medium-distance_smooth,biflagellate,clavarioid,hydnoid,keratinolytic,dung,moss-associated,moss_parasite,animal-associated,partly_aquatic
,animal_parasite,/amphinema-tylospora,medium-distance_fringe,biflagellate-rhizomycelial,"cleistothecium_(closed,_spherical)",poroid,mold,food,root-associated,root-associated,animal-associated/opportunistic_human_parasite,partly_freshwater_(partly_non-aquatic)
,arbuscular_mycorrhizal,/atheliales1,mat,dimorphic_yeast,corticioid,smooth,soft_rot,fungal_material,root_endophyte_dark_septate,root_pathogen,arthropod_ectosymbiont,partly_marine_(partly_non-aquatic)
,bacterivorous,/atheliales2,long-distance,filamentous_mycelium,cyphelloid,other,white_rot,hydrocarbon-rich_substrates_(fuel),root_endophyte,wood_pathogen,arthropod_parasite,non-aquatic
,dung_saprotroph,/austropaxillus,,labyrinthulid,gasteroid,,other,leaf/fruit/seed,,other_plant_pathogen,arthropod-associated,
,ectomycorrhizal,/boletopsis,,thallus_photosynthetic,gasteroid-hypogeous,,,pollen,,,coral-associated,
,epiphyte,/boletus,,unicellular-aflagellate_(non-yeast),hysterothecium_(opening_slith-like),,,protist_material,,,fish_parasite,
,foliar_endophyte,/byssocorticium,,zoosporic_only,mazaedium_(pushpin-like),,,resins,,,invertebrate_parasite,
,lichen_parasite,/cantharellus,,zoosporic-plasmodium_(aphelid),"perithecium_(hymenium_hidden,_narrow_opening)",,,roots,,,invertebrate-associated,
,lichenized,/catathelasma,,zoosporic-rhizomycelial_(chytrid-like),phalloid,,,soil_organic_material,,,nematophagous,
,litter_saprotroph,/cenococcum,,yeast,polyporoid,,,sugar-rich_substrates,,,opportunistic_animal_parasite,
,moss_symbiont,/ceratobasidium1,,other,rust,,,wood,,,opportunistic_human_parasite,
,mycoparasite,/ceratobasidium2,,,smut,,,other,,,termite_symbiont,
,nectar/tap saprotroph,/clavariadelphus,,,"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)",,,,,,vertebrate_parasite,
,pathogen_other,/clavulina,,,tremelloid,,,,,,vertebrate-associated,
,plant_pathogen,/coltricia,,,tufts_in_living_insects,,,,,,other,
,pollen_saprotroph,/cortinarius,,,zoosporangium,,,,,,,
,protistan_parasite,/densospora,,,zygosporangium,,,,,,,
,root_endophyte,/descolea,,,none,,,,,,,
,soil_saprotroph,/elaphomyces,,,other,,,,,,,
,sooty_mold,/endogone1,,,,,,,,,,
,unspecified,/endogone2,,,,,,,,,,
,unspecified_pathotroph,/endogone3,,,,,,,,,,
,unspecified_saprotroph,/entoloma,,,,,,,,,,
,unspecified_symbiotroph,/galactinia,,,,,,,,,,
,wood_saprotroph,/genea-humaria,,,,,,,,,,
,other,/geopora,,,,,,,,,,
,,/guyanagarica_(/agaricales1),,,,,,,,,,
,,/hebeloma-alnicola,,,,,,,,,,
,,/helotiales1,,,,,,,,,,
,,/helotiales2,,,,,,,,,,
,,/helotiales3,,,,,,,,,,
,,/helotiales5,,,,,,,,,,
,,/helotiales6,,,,,,,,,,
,,/hydnellum-sarcodon,,,,,,,,,,
,,/hydnotrya,,,,,,,,,,
,,/hydropus,,,,,,,,,,
,,/hygrophorus,,,,,,,,,,
,,/hysterangium,,,,,,,,,,
,,/inocybe,,,,,,,,,,
,,/laccaria,,,,,,,,,,
,,/leotia,,,,,,,,,,
,,/leucangium,,,,,,,,,,
,,/marcelleina-peziza_gerardii,,,,,,,,,,
,,/meliniomyces,,,,,s,,,,,
,,/otidea,,,,,,,,,,
,,/pachyphloeus-amylascus,,,,,,,,,,
,,/paralyophyllum,,,,,,,,,,
,,/paxillus-gyrodon,,,,,,,,,,
,,/phaeocollybia,,,,,,,,,,
,,/phaeohelotium,,,,,,,,,,
,,/phellodon-bankera,,,,,,,,,,
,,/piloderma,,,,,,,,,,
,,/pisolithus-scleroderma,,,,,,,,,,
,,/porpoloma,,,,,,,,,,
,,/pseudotomentella,,,,,,,,,,
,,/pulvinula,,,,,,,,,,
,,/pustularia,,,,,,,,,,
,,/pyronemataceae1,,,,,,,,,,
,,/pyronemataceae2,,,,,,,,,,
,,/ramaria-gautieria,,,,,,,,,,
,,/rhodoscypha,,,,,,,,,,
,,/russula-lactarius,,,,,,,,,,
,,/sarcosphaera-hydnotryopsis,,,,,,,,,,
,,/sebacina,,,,,,,,,,
,,/serendipita1,,,,,,,,,,
,,/serendipita2,,,,,,,,,,
,,/sordariales1,,,,,,,,,,
,,/sordariales2,,,,,,,,,,
,,/sowerbyella,,,,,,,,,,
,,/sphaerosporella,,,,,,,,,,
,,/suillus-rhizopogon,,,,,,,,,,
,,/tarzetta,,,,,,,,,,
,,/terfezia-peziza_depressa,,,,,,,,,,
,,/tomentella-thelephora,,,,,,,,,,
,,/tomentellopsis,,,,,,,,,,
,,/tremellodendropsis_(/agaricomycetes1),,,,,,,,,,
,,/tricholoma,,,,,,,,,,
,,/tuber-helvella,,,,,,,,,,
,,/tulasnella1,,,,,,,,,,
,,/tulasnella2,,,,,,,,,,
,,uncertain,,,,,,,,,,
,,/wilcoxina,,,,,,,,,,
,,/xenasmatella,,,,,,,,,,
