"","Sample.number","Moisture.treatment","Residue.type","Lab.rep","Glucose.addition.treatment","Harvest.day","frac.mass.recovery","frac.pct.pom","frac.pct.maom","pom.n.pct","pom.c.pct","pom.n.g.kg","pom.c.g.kg","pom.cn","maom.n.pct","maom.c.pct","maom.n.g.kg","maom.c.g.kg","maom.cn","bulk.soil.N.g.kg","bulk.soil.C.g.kg","bulk.soil.cn","frac.pct.n.as.pon","frac.pct.c.as.poc","frac.pct.n.as.maon","frac.pct.c.as.maoc","frac.c.recovery","frac.n.recovery","d13C.som","d13C.pom","d13C.maom","X13soc","X13poc","X13maoc","doc","mbc","X13doc","X13mbc","X13co2","CUE","GMC","Moisture.pct","co2","co2.native","dna","file.names","richness","shannon.div","simpson.div","invsimpson.div","evenness","Harvest.day2"
"1","1","Ambient","Clover","R1","G-50","T1",97.41009358,18.87109669,81.12890331,0.108,1.692,0.198529412,3.110294118,15.66666667,0.159,1.21,1.256541076,9.562356618,7.610062893,1.91,14.97,7.84,10.39,20.77684781,65.79,63.87679771,84.65364553,76.18170094,-15.52985867,-20.4041419,-17.13551038,29.0509424,2.04271328,15.95393413,70.83,908.3397142,4.7300016,9.293601362,9.067620397,0.506153756,0.25170068,20.10869565,30.21108891,6.108809943,123.031,"Wooliver_ITS_1A11_Beever240927_S245",542,4.34005677900088,0.968023564533021,31.2730291977877,0.68941594811218,"24 hr"
"73","2","Ambient","Clover","R1","G-50","T90",97.89691715,18.89447632,81.10552368,0.046,1.734,0.085086705,3.207398844,37.69565217,0.112,0.9,0.889277842,7.145982659,8.035714286,1.88,13.94,7.41,4.53,23.00860003,47.3,51.2624294,74.27102943,51.82790145,-20.03976746,-21.79984328,-19.70751767,9.055488559,1.375383419,8.31904825,34.28,234.1677445,1.247495129,0.841805383,23.72982762,0.034259236,0.260309278,20.65439673,1453.657652,109.2859834,81.537,"Wooliver_ITS_2A4_Beever240927_S285",403,3.8896307892297,0.955915698807092,22.6838119906703,0.648386718056492,"6 mo"
"84","3","Ambient","Clover","R1","G-00","T1",97.94622578,18.3460585,81.6539415,0.111,2.263,0.199458918,4.066446226,20.38738739,0.135,1.087,1.079688878,8.69349489,8.051851852,1.97,15.64,7.94,10.12,26.00029556,54.81,55.58500569,81.58530125,64.93136018,-22.72256566,-22.8384384,-23.32032716,NA,NA,NA,51.06,649.7808731,NA,NA,NA,NA,0.248508946,19.9044586,15.03465857,NA,141.975,"Wooliver_ITS_1A1_Beever240927_S165",194,4.16837566871658,0.971770962638897,35.4245165078814,0.791284720061209,"24 hr"
"95","4","Ambient","Clover","R1","G-00","T90",97.08880937,18.69653645,81.30346355,0.076,1.434,0.137957059,2.60303188,18.86842105,0.161,1.074,1.270878692,8.477787053,6.670807453,1.88,13.56,7.21,7.34,19.1964003,67.6,62.52055349,81.71695378,74.93807189,-22.44729243,-23.38949835,-24.02388188,NA,NA,NA,45.13,522.670998,NA,NA,NA,NA,0.270655271,21.30044843,1320.406096,NA,90.407,"Wooliver_ITS_1A6_Beever240927_S205",473,3.90352986823859,0.953029133690488,21.28979255802,0.633782986302211,"6 mo"
"106","5","Ambient","No residue","R1","G-50","T1",97.22624585,18.93039832,81.06960168,0.073,1.575,0.134358804,2.898837209,21.57534247,0.112,1.023,0.882794419,8.063381163,9.133928571,1.23,12.21,9.93,10.92,23.74150049,71.77,66.03915776,89.78065825,82.69538395,-11.74092114,-17.08849567,-14.93658623,31.0513804,3.365741043,15.80761423,21.88,430.831768,3.855275582,5.158411884,15.28532248,0.252322388,0.239837398,19.3442623,21.45896594,-2.124054593,76.791,"Wooliver_ITS_1B11_Beever240927_S246",796,5.97762208672557,0.996159786430589,260.402183869521,0.894907302131771,"24 hr"
"117","6","Ambient","No residue","R1","G-50","T90",98.21804753,18.50574299,81.49425701,0.052,1.027,0.094515093,1.866673089,19.75,0.092,0.833,0.736387026,6.667504271,9.054347826,1.11,10.7,9.64,8.51,17.44554289,66.34,62.31312403,79.75866692,74.8560468,-17.54945508,-21.28297782,-16.29895862,10.9588409,0.894472004,11.04458113,16.36,274.6358261,0.467736308,0.637965133,26.97002574,0.023107988,0.251072961,20.06861063,913.2798233,-20.12081182,56.559,"Wooliver_ITS_2B4_Beever240927_S286",812,4.07361196587745,0.922879340840315,12.9666941503885,0.608047131732685,"6 mo"
"128","7","Ambient","No residue","R1","G-00","T1",98.87843269,17.81535033,82.18464967,0.069,1.336,0.12154722,2.353436035,19.36231884,0.116,1.041,0.942649565,8.459467214,8.974137931,1.18,11.65,9.87,10.3,20.20116768,79.89,72.61345248,92.81462016,90.18616822,-21.1627755,-21.39033995,-22.20169375,NA,NA,NA,19.82,140.6995984,NA,NA,NA,NA,0.245283019,19.6969697,8.297698053,NA,79.122,"Wooliver_ITS_1B1_Beever240927_S166",935,5.83600176108021,0.993025134984836,143.371950256525,0.853148463517149,"24 hr"
"139","8","Ambient","No residue","R1","G-00","T90",98.12246897,18.239247,81.760753,0.046,0.855,0.082325278,1.530176355,18.58695652,0.098,0.852,0.786211561,6.835227041,8.693877551,1.11,10.74,9.68,7.42,14.2474521,70.83,63.64270988,77.89016198,78.24656204,-21.34411832,-23.05917784,-22.43808475,NA,NA,NA,13.97,522.5926405,NA,NA,NA,NA,0.25813449,20.51724138,906.2455891,NA,53.12,"Wooliver_ITS_1B6_Beever240927_S206",665,5.74809111961204,0.994734271887169,189.907260415396,0.884350684669822,"6 mo"
"150","9","Ambient","Five-species mix","R1","G-50","T1",97.39616935,18.76826369,81.23173631,0.073,1.273,0.13344086,2.326989247,17.43835616,0.168,1.24,1.329158871,9.810458333,7.380952381,1.94,16.46,8.48,6.88,14.13723723,68.51,59.60181247,73.7390497,75.39173872,-16.72968698,-20.61391876,-17.40059029,28.63092414,2.436459021,16.01406759,49.27,393.650045,5.280893251,5.647755292,12.73671846,0.307202445,0.249427918,19.96336996,31.06987271,2.221012058,114.957,"Wooliver_ITS_1C11_Beever240927_S247",465,3.71348723586697,0.93621721758633,15.6782122409524,0.604601859390965,"24 hr"
"2","10","Ambient","Five-species mix","R1","G-50","T90",97.83145695,19.08945984,80.91054016,0.051,1.091,0.095245033,2.037496689,21.39215686,0.123,0.891,0.973618311,7.05279606,7.243902439,1.92,14.25,7.42,4.96,14.29822238,50.71,49.49330568,63.79152806,55.66996585,-21.15385587,-23.2163354,-20.66196035,3.967915772,0.293239539,5.638322954,44.33,377.672699,0.729066408,1.38027583,27.53869381,0.047729081,0.262605042,20.79866889,1393.967454,-0.641665641,74.226,"Wooliver_ITS_2C4_Beever240927_S287",400,3.55372226114076,0.928757609453772,14.0365868176633,0.593130816881175,"6 mo"
