,Sample.number,X,Moisture.treatment,Residue.type,Lab.rep,Glucose.addition.treatment,Harvest.day,frac.mass.recovery,frac.pct.pom,frac.pct.maom,pom.n.pct,pom.c.pct,pom.n.g.kg,pom.c.g.kg,pom.cn,maom.n.pct,maom.c.pct,maom.n.g.kg,maom.c.g.kg,maom.cn,bulk.soil.N.g.kg,bulk.soil.C.g.kg,bulk.soil.cn,frac.pct.n.as.pon,frac.pct.c.as.poc,frac.pct.n.as.maon,frac.pct.c.as.maoc,frac.c.recovery,frac.n.recovery,d13C.som,d13C.pom,d13C.maom,X13soc,X13poc,X13maoc,doc,mbc,X13doc,X13mbc,X13co2,CUE,GMC,Moisture.pct,co2,co2.native,dna,file.names.ITS,richness.ITS,shannon.div.ITS,simpson.div.ITS,invsimpson.div.ITS,evenness.ITS,Harvest.day2,file.names.16S,richness.16S,shannon.div.16S,simpson.div.16S,invsimpson.div.16S,evenness.16S
1,1,1,Ambient,Clover,R1,G-50,T1,97.41009358,18.87109669,81.12890331,0.108,1.692,0.198529412,3.110294118,15.66666667,0.159,1.21,1.256541076,9.562356618,7.610062893,1.91,14.97,7.84,10.39,20.77684781,65.79,63.87679771,84.65364553,76.18170094,-15.52985867,-20.4041419,-17.13551038,29.0509424,2.04271328,15.95393413,70.83,908.3397142,4.7300016,9.293601362,9.067620397,0.506153756,0.25170068,20.10869565,30.21108891,6.108809943,123.031,Wooliver_ITS_1A11_Beever240927_S245,293,4.190147035,0.965470542,28.96077899,0.737679526,24 hr,Wooliver_16S_1A11_Beever240927_S81,12272,7.660406327,0.995534761,223.9521545,0.813631957
73,2,73,Ambient,Clover,R1,G-50,T90,97.89691715,18.89447632,81.10552368,0.046,1.734,0.085086705,3.207398844,37.69565217,0.112,0.9,0.889277842,7.145982659,8.035714286,1.88,13.94,7.41,4.53,23.00860003,47.3,51.2624294,74.27102943,51.82790145,-20.03976746,-21.79984328,-19.70751767,9.055488559,1.375383419,8.31904825,34.28,234.1677445,1.247495129,0.841805383,23.72982762,0.034259236,0.260309278,20.65439673,1453.657652,109.2859834,81.537,Wooliver_ITS_2A4_Beever240927_S285,206,3.799378921,0.95437954,21.9199896,0.713113218,6 mo,Wooliver_16S_2A4_Beever240927_S121,15423,7.547120055,0.995013595,200.545269,0.782602781
84,3,84,Ambient,Clover,R1,G-00,T1,97.94622578,18.3460585,81.6539415,0.111,2.263,0.199458918,4.066446226,20.38738739,0.135,1.087,1.079688878,8.69349489,8.051851852,1.97,15.64,7.94,10.12,26.00029556,54.81,55.58500569,81.58530125,64.93136018,-22.72256566,-22.8384384,-23.32032716,NA,NA,NA,51.06,649.7808731,NA,NA,NA,NA,0.248508946,19.9044586,15.03465857,NA,141.975,Wooliver_ITS_1A1_Beever240927_S165,144,4.065072485,0.970421107,33.80789169,0.817952756,24 hr,Wooliver_16S_1A1_Beever240927_S1,12621,7.701304961,0.995732063,234.3052559,0.815546885
95,4,95,Ambient,Clover,R1,G-00,T90,97.08880937,18.69653645,81.30346355,0.076,1.434,0.137957059,2.60303188,18.86842105,0.161,1.074,1.270878692,8.477787053,6.670807453,1.88,13.56,7.21,7.34,19.1964003,67.6,62.52055349,81.71695378,74.93807189,-22.44729243,-23.38949835,-24.02388188,NA,NA,NA,45.13,522.670998,NA,NA,NA,NA,0.270655271,21.30044843,1320.406096,NA,90.407,Wooliver_ITS_1A6_Beever240927_S205,240,3.809774382,0.952748389,21.16329955,0.695133256,6 mo,Wooliver_16S_1A6_Beever240927_S41,8915,7.154444572,0.993933294,164.8340878,0.786592493
106,5,106,Ambient,No residue,R1,G-50,T1,97.22624585,18.93039832,81.06960168,0.073,1.575,0.134358804,2.898837209,21.57534247,0.112,1.023,0.882794419,8.063381163,9.133928571,1.23,12.21,9.93,10.92,23.74150049,71.77,66.03915776,89.78065825,82.69538395,-11.74092114,-17.08849567,-14.93658623,31.0513804,3.365741043,15.80761423,21.88,430.831768,3.855275582,5.158411884,15.28532248,0.252322388,0.239837398,19.3442623,21.45896594,-2.124054593,76.791,Wooliver_ITS_1B11_Beever240927_S246,418,5.600263701,0.995106212,204.3407017,0.927890138,24 hr,Wooliver_16S_1B11_Beever240927_S82,18159,9.249810698,0.999796814,4921.590902,0.943192073
117,6,117,Ambient,No residue,R1,G-50,T90,98.21804753,18.50574299,81.49425701,0.052,1.027,0.094515093,1.866673089,19.75,0.092,0.833,0.736387026,6.667504271,9.054347826,1.11,10.7,9.64,8.51,17.44554289,66.34,62.31312403,79.75866692,74.8560468,-17.54945508,-21.28297782,-16.29895862,10.9588409,0.894472004,11.04458113,16.36,274.6358261,0.467736308,0.637965133,26.97002574,0.023107988,0.251072961,20.06861063,913.2798233,-20.12081182,56.559,Wooliver_ITS_2B4_Beever240927_S286,366,3.753634142,0.913281092,11.53151057,0.635925346,6 mo,Wooliver_16S_2B4_Beever240927_S122,20430,9.394803442,0.999838166,6179.173887,0.946602612
128,7,128,Ambient,No residue,R1,G-00,T1,98.87843269,17.81535033,82.18464967,0.069,1.336,0.12154722,2.353436035,19.36231884,0.116,1.041,0.942649565,8.459467214,8.974137931,1.18,11.65,9.87,10.3,20.20116768,79.89,72.61345248,92.81462016,90.18616822,-21.1627755,-21.39033995,-22.20169375,NA,NA,NA,19.82,140.6995984,NA,NA,NA,NA,0.245283019,19.6969697,8.297698053,NA,79.122,Wooliver_ITS_1B1_Beever240927_S166,463,5.430432144,0.991186975,113.4684231,0.88476273,24 hr,Wooliver_16S_1B1_Beever240927_S2,19245,9.320844702,0.99981631,5443.956997,0.944839179
139,8,139,Ambient,No residue,R1,G-00,T90,98.12246897,18.239247,81.760753,0.046,0.855,0.082325278,1.530176355,18.58695652,0.098,0.852,0.786211561,6.835227041,8.693877551,1.11,10.74,9.68,7.42,14.2474521,70.83,63.64270988,77.89016198,78.24656204,-21.34411832,-23.05917784,-22.43808475,NA,NA,NA,13.97,522.5926405,NA,NA,NA,NA,0.25813449,20.51724138,906.2455891,NA,53.12,Wooliver_ITS_1B6_Beever240927_S206,393,5.464979133,0.993570348,155.5294112,0.914823118,6 mo,Wooliver_16S_1B6_Beever240927_S42,20287,9.363396142,0.999822903,5646.63118,0.944106251
150,9,150,Ambient,Five-species mix,R1,G-50,T1,97.39616935,18.76826369,81.23173631,0.073,1.273,0.13344086,2.326989247,17.43835616,0.168,1.24,1.329158871,9.810458333,7.380952381,1.94,16.46,8.48,6.88,14.13723723,68.51,59.60181247,73.7390497,75.39173872,-16.72968698,-20.61391876,-17.40059029,28.63092414,2.436459021,16.01406759,49.27,393.650045,5.280893251,5.647755292,12.73671846,0.307202445,0.249427918,19.96336996,31.06987271,2.221012058,114.957,Wooliver_ITS_1C11_Beever240927_S247,237,3.61434529,0.935244857,15.44278883,0.660992234,24 hr,Wooliver_16S_1C11_Beever240927_S83,7667,7.122006206,0.994266373,174.4096612,0.796228111
2,10,2,Ambient,Five-species mix,R1,G-50,T90,97.83145695,19.08945984,80.91054016,0.051,1.091,0.095245033,2.037496689,21.39215686,0.123,0.891,0.973618311,7.05279606,7.243902439,1.92,14.25,7.42,4.96,14.29822238,50.71,49.49330568,63.79152806,55.66996585,-21.15385587,-23.2163354,-20.66196035,3.967915772,0.293239539,5.638322954,44.33,377.672699,0.729066408,1.38027583,27.53869381,0.047729081,0.262605042,20.79866889,1393.967454,-0.641665641,74.226,Wooliver_ITS_2C4_Beever240927_S287,200,3.441888336,0.924271521,13.20507174,0.649619133,6 mo,Wooliver_16S_2C4_Beever240927_S123,11146,7.076553137,0.993468113,153.0951108,0.759381661
