Sample number,Moisture treatment,Residue type,Lab rep,Glucose addition treatment,Harvest day,Time,Date,WHC,
1,Ambient,CLOV,R1,G-50,T1,1,5/22/23,45.73404181,
2,Ambient,CLOV,R1,G-50,T90,1,5/22/23,45.29567628,
3,Ambient,CLOV,R1,G-00,T1,1,5/22/23,45.3527073,
4,Ambient,CLOV,R1,G-00,T90,1,5/22/23,45.5363665,
5,Ambient,NONE,R1,G-50,T1,1,5/22/23,45.51365076,
6,Ambient,NONE,R1,G-50,T90,1,5/22/23,45.34159109,
7,Ambient,NONE,R1,G-00,T1,1,5/22/23,45.53491656,
8,Ambient,NONE,R1,G-00,T90,1,5/22/23,45.58663113,
9,Ambient,SHMX,R1,G-50,T1,1,5/22/23,45.61901315,
10,Ambient,SHMX,R1,G-50,T90,1,5/22/23,45.81330525,
11,Ambient,SHMX,R1,G-00,T1,1,5/22/23,45.93220042,
12,Ambient,SHMX,R1,G-00,T90,1,5/22/23,45.98391499,
13,Ambient,WHCL,R1,G-50,T1,1,5/22/23,45.84520396,
14,Ambient,WHCL,R1,G-50,T90,1,5/22/23,46.02161346,
15,Ambient,WHCL,R1,G-00,T1,1,5/22/23,46.03852944,
16,Ambient,WHCL,R1,G-00,T90,1,5/22/23,46.00373085,
17,Ambient,WHEA,R1,G-50,T1,1,5/22/23,45.86598645,
18,Ambient,WHEA,R1,G-50,T90,1,5/22/23,45.85100372,
19,Ambient,WHEA,R1,G-00,T1,1,5/22/23,45.99889771,
20,Ambient,WHEA,R1,G-00,T90,1,5/22/23,46.02258008,
21,Drought,CLOV,R1,G-50,T1,1,5/22/23,45.84085413,
22,Drought,CLOV,R1,G-50,T90,1,5/22/23,45.85052041,
23,Drought,CLOV,R1,G-00,T1,1,5/22/23,45.87323615,
24,Drought,CLOV,R1,G-00,T90,1,5/22/23,45.92301746,
25,Drought,NONE,R1,G-50,T1,1,5/22/23,45.7161592,
26,Drought,NONE,R1,G-50,T90,1,5/22/23,45.737425,
27,Drought,NONE,R1,G-00,T1,1,5/22/23,45.83940419,
28,Drought,NONE,R1,G-00,T90,1,5/22/23,45.76787377,
29,Drought,SHMX,R1,G-50,T1,1,5/22/23,45.92398409,
30,Drought,SHMX,R1,G-50,T90,1,5/22/23,45.9843983,
31,Drought,SHMX,R1,G-00,T1,1,5/22/23,46.06076187,
32,Drought,SHMX,R1,G-00,T90,1,5/22/23,46.0549621,
33,Drought,WHCL,R1,G-50,T1,1,5/22/23,45.9843983,
34,Drought,WHCL,R1,G-50,T90,1,5/22/23,45.99261463,
35,Drought,WHCL,R1,G-00,T1,1,5/22/23,46.05447879,
36,Drought,WHCL,R1,G-00,T90,1,5/22/23,46.06124518,
37,Drought,WHEA,R1,G-50,T1,1,5/22/23,45.92350078,
38,Drought,WHEA,R1,G-50,T90,1,5/22/23,46.05592873,
39,Drought,WHEA,R1,G-00,T1,1,5/22/23,46.18739005,
40,Drought,WHEA,R1,G-00,T90,1,5/22/23,46.06076187,
41,Ambient,CLOV,R2,G-50,T1,1,5/22/23,45.95443285,
